clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.0
9,55,80,0.0
10,55,80,0.0
11,55,80,0.0
12,55,80,0.5
13,55,80,0.14
14,55,80,0.67
0,50,52,0.5
1,50,52,0.0
2,50,52,0.0
3,50,52,0.08
4,50,52,0.0
5,50,52,0.0
6,50,52,0.0
7,50,52,0.0
8,50,52,0.0
9,50,52,0.0
10,50,52,0.0
11,50,52,0.0
12,50,52,0.75
13,50,52,0.18
14,50,52,0.67
0,52,54,0.5
1,52,54,0.0
2,52,54,0.0
3,52,54,0.0
4,52,54,0.0
5,52,54,0.0
6,52,54,0.0
7,52,54,0.0
8,52,54,0.0
9,52,54,0.0
10,52,54,0.0
11,52,54,0.0
12,52,54,0.75
13,52,54,0.14
14,52,54,0.67
0,54,56,0.5
1,54,56,0.0
2,54,56,0.0
3,54,56,0.08
4,54,56,0.0
5,54,56,0.0
6,54,56,0.0
7,54,56,0.0
8,54,56,0.0
9,54,56,0.0
10,54,56,0.0
11,54,56,0.0
12,54,56,0.75
13,54,56,0.14
14,54,56,0.67
0,56,58,0.5
1,56,58,0.0
2,56,58,0.0
3,56,58,0.0
4,56,58,0.0
5,56,58,0.0
6,56,58,0.0
7,56,58,0.0
8,56,58,0.0
9,56,58,0.0
10,56,58,0.0
11,56,58,0.0
12,56,58,0.75
13,56,58,0.14
14,56,58,0.67
0,58,60,0.5
1,58,60,0.0
2,58,60,0.0
3,58,60,0.08
4,58,60,0.0
5,58,60,0.0
6,58,60,0.0
7,58,60,0.0
8,58,60,0.0
9,58,60,0.0
10,58,60,0.0
11,58,60,0.0
12,58,60,0.75
13,58,60,0.14
14,58,60,0.67
0,60,62,0.5
1,60,62,0.0
2,60,62,0.0
3,60,62,0.11
4,60,62,0.0
5,60,62,0.0
6,60,62,0.0
7,60,62,0.0
8,60,62,0.0
9,60,62,0.0
10,60,62,0.0
11,60,62,0.0
12,60,62,0.5
13,60,62,0.14
14,60,62,0.67
0,62,64,0.5
1,62,64,0.0
2,62,64,0.0
3,62,64,0.11
4,62,64,0.0
5,62,64,0.0
6,62,64,0.0
7,62,64,0.0
8,62,64,0.0
9,62,64,0.0
10,62,64,0.0
11,62,64,0.0
12,62,64,0.5
13,62,64,0.14
14,62,64,0.67
0,64,66,0.0
1,64,66,0.0
2,64,66,0.0
3,64,66,0.08
4,64,66,0.0
5,64,66,0.0
6,64,66,0.0
7,64,66,0.0
8,64,66,0.0
9,64,66,0.0
10,64,66,0.0
11,64,66,0.0
12,64,66,0.5
13,64,66,0.14
14,64,66,0.67
0,66,68,0.0
1,66,68,0.0
2,66,68,0.0
3,66,68,0.08
4,66,68,0.0
5,66,68,0.0
6,66,68,0.0
7,66,68,0.0
8,66,68,0.0
9,66,68,0.0
10,66,68,0.0
11,66,68,0.0
12,66,68,0.5
13,66,68,0.18
14,66,68,0.67
0,68,70,0.0
1,68,70,0.0
2,68,70,0.0
3,68,70,0.08
4,68,70,0.0
5,68,70,0.0
6,68,70,0.0
7,68,70,0.0
8,68,70,0.0
9,68,70,0.0
10,68,70,0.0
11,68,70,0.0
12,68,70,0.5
13,68,70,0.14
14,68,70,0.67
0,70,72,0.0
1,70,72,0.0
2,70,72,0.0
3,70,72,0.08
4,70,72,0.0
5,70,72,0.0
6,70,72,0.0
7,70,72,0.0
8,70,72,0.0
9,70,72,0.0
10,70,72,0.0
11,70,72,0.0
12,70,72,0.5
13,70,72,0.14
14,70,72,0.67
0,72,74,0.0
1,72,74,0.0
2,72,74,0.0
3,72,74,0.08
4,72,74,0.0
5,72,74,0.0
6,72,74,0.0
7,72,74,0.0
8,72,74,0.0
9,72,74,0.0
10,72,74,0.0
11,72,74,0.0
12,72,74,0.0
13,72,74,0.14
14,72,74,0.67
0,74,76,0.0
1,74,76,0.0
2,74,76,0.0
3,74,76,0.0
4,74,76,0.0
5,74,76,0.0
6,74,76,0.0
7,74,76,0.0
8,74,76,0.0
9,74,76,0.0
10,74,76,0.0
11,74,76,0.0
12,74,76,0.0
13,74,76,0.14
14,74,76,0.67
0,76,78,0.0
1,76,78,0.0
2,76,78,0.0
3,76,78,0.0
4,76,78,0.0
5,76,78,0.0
6,76,78,0.0
7,76,78,0.0
8,76,78,0.0
9,76,78,0.0
10,76,78,0.0
11,76,78,0.0
12,76,78,0.0
13,76,78,0.14
14,76,78,0.67
0,78,80,0.0
1,78,80,0.0
2,78,80,0.0
3,78,80,0.08
4,78,80,0.0
5,78,80,0.0
6,78,80,0.0
7,78,80,0.0
8,78,80,0.0
9,78,80,0.0
10,78,80,0.0
11,78,80,0.0
12,78,80,0.0
13,78,80,0.14
14,78,80,0.56
0,80,82,0.0
1,80,82,0.0
2,80,82,0.0
3,80,82,0.08
4,80,82,0.0
5,80,82,0.0
6,80,82,0.0
7,80,82,0.0
8,80,82,0.0
9,80,82,0.0
10,80,82,0.0
11,80,82,0.0
12,80,82,0.0
13,80,82,0.23
14,80,82,0.56
0,82,84,0.0
1,82,84,0.0
2,82,84,0.0
3,82,84,0.08
4,82,84,0.0
5,82,84,0.0
6,82,84,0.0
7,82,84,0.0
8,82,84,0.0
9,82,84,0.0
10,82,84,0.0
11,82,84,0.0
12,82,84,0.0
13,82,84,0.23
14,82,84,0.67
0,84,86,0.0
1,84,86,0.0
2,84,86,0.0
3,84,86,0.08
4,84,86,0.0
5,84,86,0.0
6,84,86,0.0
7,84,86,0.0
8,84,86,0.0
9,84,86,0.0
10,84,86,0.0
11,84,86,0.0
12,84,86,0.0
13,84,86,0.18
14,84,86,0.56
0,86,88,0.0
1,86,88,0.0
2,86,88,0.0
3,86,88,0.08
4,86,88,0.0
5,86,88,0.0
6,86,88,0.0
7,86,88,0.0
8,86,88,0.0
9,86,88,0.0
10,86,88,0.0
11,86,88,0.0
12,86,88,0.0
13,86,88,0.18
14,86,88,0.56
0,88,90,0.0
1,88,90,0.0
2,88,90,0.0
3,88,90,0.08
4,88,90,0.0
5,88,90,0.0
6,88,90,0.0
7,88,90,0.0
8,88,90,0.0
9,88,90,0.0
10,88,90,0.0
11,88,90,0.0
12,88,90,0.0
13,88,90,0.18
14,88,90,0.56
0,90,92,0.0
1,90,92,0.0
2,90,92,0.0
3,90,92,0.08
4,90,92,0.0
5,90,92,0.0
6,90,92,0.0
7,90,92,0.0
8,90,92,0.0
9,90,92,0.0
10,90,92,0.0
11,90,92,0.0
12,90,92,0.0
13,90,92,0.18
14,90,92,0.56
0,92,94,0.0
1,92,94,0.0
2,92,94,0.0
3,92,94,0.0
4,92,94,0.0
5,92,94,0.0
6,92,94,0.0
7,92,94,0.0
