clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.43
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.11
6,55,80,0.6
7,55,80,0.23
8,55,80,0.54
9,55,80,0.0
10,55,80,0.44
11,55,80,0.0
12,55,80,0.0
13,55,80,0.0
0,50,54,0.0
1,50,54,0.43
2,50,54,0.0
3,50,54,0.0
4,50,54,0.0
5,50,54,0.11
6,50,54,1.0
7,50,54,0.0
8,50,54,0.58
9,50,54,0.0
10,50,54,0.62
11,50,54,0.0
12,50,54,0.0
13,50,54,0.0
0,54,58,0.0
1,54,58,0.43
2,54,58,0.0
3,54,58,0.0
4,54,58,0.0
5,54,58,0.11
6,54,58,1.0
7,54,58,0.12
8,54,58,0.54
9,54,58,0.0
10,54,58,0.62
11,54,58,0.0
12,54,58,0.0
13,54,58,0.0
0,58,62,0.0
1,58,62,0.43
2,58,62,0.0
3,58,62,0.0
4,58,62,0.0
5,58,62,0.11
6,58,62,0.8
7,58,62,0.23
8,58,62,0.58
9,58,62,0.0
10,58,62,0.44
11,58,62,0.0
12,58,62,0.0
13,58,62,0.0
0,62,66,0.0
1,62,66,0.0
2,62,66,0.0
3,62,66,0.0
4,62,66,0.0
5,62,66,0.11
6,62,66,0.6
7,62,66,0.23
8,62,66,0.5
9,62,66,0.0
10,62,66,0.44
11,62,66,0.0
12,62,66,0.0
13,62,66,0.0
0,66,70,0.0
1,66,70,0.0
2,66,70,0.0
3,66,70,0.0
4,66,70,0.0
5,66,70,0.11
6,66,70,0.6
7,66,70,0.23
8,66,70,0.65
9,66,70,0.0
10,66,70,0.56
11,66,70,0.0
12,66,70,0.0
13,66,70,0.0
0,70,74,0.0
1,70,74,0.0
2,70,74,0.0
3,70,74,0.0
4,70,74,0.0
5,70,74,0.0
6,70,74,0.6
7,70,74,0.23
8,70,74,0.69
9,70,74,0.0
10,70,74,0.44
11,70,74,0.0
12,70,74,0.0
13,70,74,0.0
0,74,78,0.0
1,74,78,0.0
2,74,78,0.0
