clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.43
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.11
6,55,80,0.6
7,55,80,0.23
8,55,80,0.54
9,55,80,0.0
10,55,80,0.44
11,55,80,0.0
12,55,80,0.0
13,55,80,0.0
0,50,51,0.0
1,50,51,0.43
2,50,51,0.0
3,50,51,0.0
4,50,51,0.0
5,50,51,0.11
6,50,51,1.0
7,50,51,0.0
8,50,51,0.58
9,50,51,0.0
10,50,51,0.62
11,50,51,0.0
12,50,51,0.0
13,50,51,0.0
0,51,52,0.0
1,51,52,0.43
2,51,52,0.0
3,51,52,0.0
4,51,52,0.0
5,51,52,0.11
6,51,52,1.0
7,51,52,0.0
8,51,52,0.42
9,51,52,0.0
10,51,52,0.62
11,51,52,0.0
12,51,52,0.0
13,51,52,0.0
0,52,53,0.0
1,52,53,0.43
2,52,53,0.0
3,52,53,0.0
4,52,53,0.0
5,52,53,0.11
6,52,53,1.0
7,52,53,0.23
8,52,53,0.42
9,52,53,0.0
10,52,53,0.62
11,52,53,0.0
12,52,53,0.0
13,52,53,0.0
0,53,54,0.0
1,53,54,0.43
2,53,54,0.0
3,53,54,0.0
4,53,54,0.0
5,53,54,0.11
6,53,54,1.0
7,53,54,0.12
8,53,54,0.54
9,53,54,0.0
10,53,54,0.62
11,53,54,0.0
12,53,54,0.0
13,53,54,0.0
0,54,55,0.0
1,54,55,0.43
2,54,55,0.0
3,54,55,0.0
4,54,55,0.0
5,54,55,0.11
6,54,55,1.0
7,54,55,0.12
8,54,55,0.54
9,54,55,0.0
10,54,55,0.62
11,54,55,0.0
12,54,55,0.0
13,54,55,0.0
0,55,56,0.0
1,55,56,0.43
2,55,56,0.0
3,55,56,0.0
4,55,56,0.0
5,55,56,0.11
6,55,56,1.0
7,55,56,0.12
8,55,56,0.54
9,55,56,0.0
10,55,56,0.62
11,55,56,0.0
12,55,56,0.0
13,55,56,0.0
0,56,57,0.0
1,56,57,0.43
2,56,57,0.0
