clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.6
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
0,50,51,0.0
1,50,51,0.0
2,50,51,0.6
3,50,51,0.0
4,50,51,0.0
5,50,51,0.0
6,50,51,0.43
0,51,52,0.0
1,51,52,0.0
2,51,52,0.6
3,51,52,0.0
4,51,52,0.0
5,51,52,0.0
6,51,52,0.43
0,52,53,0.0
1,52,53,0.0
2,52,53,0.6
3,52,53,0.0
4,52,53,0.0
5,52,53,0.0
6,52,53,0.0
0,53,54,0.0
1,53,54,0.0
2,53,54,0.6
3,53,54,0.0
4,53,54,0.0
5,53,54,0.0
6,53,54,0.0
0,54,55,0.0
1,54,55,0.0
2,54,55,0.6
3,54,55,0.0
4,54,55,0.0
5,54,55,0.0
6,54,55,0.0
0,55,56,0.0
1,55,56,0.0
2,55,56,0.6
3,55,56,0.0
4,55,56,0.0
5,55,56,0.0
6,55,56,0.0
0,56,57,0.0
1,56,57,0.0
2,56,57,0.6
3,56,57,0.0
4,56,57,0.0
5,56,57,0.0
6,56,57,0.0
0,57,58,0.0
1,57,58,0.0
2,57,58,0.6
3,57,58,0.0
4,57,58,0.0
5,57,58,0.0
6,57,58,0.0
0,58,59,0.0
1,58,59,0.0
2,58,59,0.0
3,58,59,0.0
4,58,59,0.0
5,58,59,0.0
6,58,59,0.0
0,59,60,0.0
1,59,60,0.0
2,59,60,0.0
3,59,60,0.0
4,59,60,0.0
5,59,60,0.0
6,59,60,0.0
0,60,61,0.0
1,60,61,0.0
2,60,61,0.0
3,60,61,0.0
4,60,61,0.0
5,60,61,0.0
6,60,61,0.0
0,61,62,0.0
1,61,62,0.0
2,61,62,0.0
3,61,62,0.0
4,61,62,0.0
5,61,62,0.0
6,61,62,0.0
0,62,63,0.0
1,62,63,0.0
2,62,63,0.0
3,62,63,0.0
4,62,63,0.0
5,62,63,0.0
6,62,63,0.0
0,63,64,0.0
1,63,64,0.0
2,63,64,0.0
3,63,64,0.0
4,63,64,0.0
5,63,64,0.0
6,63,64,0.0
0,64,65,0.0
1,64,65,0.0
2,64,65,0.0
3,64,65,0.0
4,64,65,0.0
5,64,65,0.0
6,64,65,0.43
0,65,66,0.0
1,65,66,0.0
2,65,66,0.0
3,65,66,0.0
4,65,66,0.0
5,65,66,0.0
6,65,66,0.0
0,66,67,0.0
1,66,67,0.0
2,66,67,0.0
3,66,67,0.0
4,66,67,0.0
5,66,67,0.0
6,66,67,0.0
0,67,68,0.0
1,67,68,0.0
2,67,68,0.0
3,67,68,0.0
4,67,68,0.0
5,67,68,0.0
6,67,68,0.0
0,68,69,0.0
1,68,69,0.0
2,68,69,0.0
3,68,69,0.0
4,68,69,0.0
5,68,69,0.0
6,68,69,0.0
0,69,70,0.0
1,69,70,0.0
2,69,70,0.0
3,69,70,0.0
4,69,70,0.0
5,69,70,0.0
6,69,70,0.0
0,70,71,0.0
1,70,71,0.0
2,70,71,0.0
3,70,71,0.0
4,70,71,0.0
5,70,71,0.0
6,70,71,0.0
0,71,72,0.0
1,71,72,0.0
2,71,72,0.0
3,71,72,0.0
4,71,72,0.0
5,71,72,0.0
6,71,72,0.0
0,72,73,0.0
1,72,73,0.0
2,72,73,0.0
3,72,73,0.0
4,72,73,0.0
5,72,73,0.0
6,72,73,0.0
0,73,74,0.0
1,73,74,0.0
2,73,74,0.0
3,73,74,0.0
4,73,74,0.0
5,73,74,0.0
6,73,74,0.0
0,74,75,0.0
1,74,75,0.0
2,74,75,0.0
3,74,75,0.0
4,74,75,0.0
5,74,75,0.0
6,74,75,0.0
0,75,76,0.0
1,75,76,0.0
2,75,76,0.0
3,75,76,0.0
4,75,76,0.0
5,75,76,0.0
6,75,76,0.0
0,76,77,0.0
1,76,77,0.0
2,76,77,0.0
3,76,77,0.0
4,76,77,0.0
5,76,77,0.0
6,76,77,0.0
0,77,78,0.0
1,77,78,0.0
2,77,78,0.0
3,77,78,0.0
4,77,78,0.0
5,77,78,0.0
6,77,78,0.0
0,78,79,0.0
1,78,79,0.0
2,78,79,0.0
3,78,79,0.0
4,78,79,0.0
5,78,79,0.0
6,78,79,0.0
0,79,80,0.0
1,79,80,0.0
2,79,80,0.0
3,79,80,0.0
4,79,80,0.0
5,79,80,0.0
6,79,80,0.0
0,80,81,0.0
1,80,81,0.0
2,80,81,0.0
3,80,81,0.0
4,80,81,0.0
5,80,81,0.0
6,80,81,0.0
0,81,82,0.0
1,81,82,0.0
2,81,82,0.0
3,81,82,0.0
4,81,82,0.0
5,81,82,0.0
6,81,82,0.0
0,82,83,0.0
1,82,83,0.0
2,82,83,0.0
3,82,83,0.0
4,82,83,0.0
5,82,83,0.0
6,82,83,0.0
0,83,84,0.0
1,83,84,0.0
2,83,84,0.0
3,83,84,0.0
4,83,84,0.0
5,83,84,0.0
6,83,84,0.0
0,84,85,0.0
1,84,85,0.0
2,84,85,0.0
3,84,85,0.0
4,84,85,0.0
5,84,85,0.0
6,84,85,0.0
0,85,86,0.0
1,85,86,0.0
2,85,86,0.0
3,85,86,0.0
4,85,86,0.0
5,85,86,0.0
6,85,86,0.0
0,86,87,0.0
1,86,87,0.0
2,86,87,0.0
3,86,87,0.0
4,86,87,0.0
5,86,87,0.0
6,86,87,0.0
0,87,88,0.0
1,87,88,0.0
2,87,88,0.0
3,87,88,0.0
4,87,88,0.0
5,87,88,0.0
6,87,88,0.0
0,88,89,0.0
1,88,89,0.0
2,88,89,0.0
3,88,89,0.0
4,88,89,0.0
5,88,89,0.0
6,88,89,0.0
0,89,90,0.0
1,89,90,0.0
2,89,90,0.0
3,89,90,0.0
4,89,90,0.0
5,89,90,0.0
6,89,90,0.0
0,90,91,0.0
1,90,91,0.0
2,90,91,0.0
3,90,91,0.0
4,90,91,0.0
5,90,91,0.0
6,90,91,0.0
0,91,92,0.0
1,91,92,0.0
2,91,92,0.0
3,91,92,0.0
4,91,92,0.0
5,91,92,0.0
6,91,92,0.0
0,92,93,0.0
1,92,93,0.0
2,92,93,0.0
3,92,93,0.0
4,92,93,0.0
5,92,93,0.0
6,92,93,0.0
0,93,94,0.0
1,93,94,0.0
2,93,94,0.0
3,93,94,0.0
4,93,94,0.0
5,93,94,0.0
6,93,94,0.0
0,94,95,0.0
1,94,95,0.0
2,94,95,0.0
3,94,95,0.0
4,94,95,0.0
5,94,95,0.0
6,94,95,0.0
0,95,96,0.0
1,95,96,0.0
2,95,96,0.0
3,95,96,0.0
4,95,96,0.0
5,95,96,0.0
6,95,96,0.0
0,96,97,0.0
1,96,97,0.0
2,96,97,0.0
3,96,97,0.0
4,96,97,0.0
5,96,97,0.0
6,96,97,0.0
0,97,98,0.0
1,97,98,0.0
