clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.67
9,55,80,0.0
10,55,80,0.64
11,55,80,0.57
0,50,58,0.0
1,50,58,0.0
2,50,58,0.0
3,50,58,0.0
4,50,58,0.43
5,50,58,0.0
6,50,58,0.0
7,50,58,0.0
8,50,58,0.44
9,50,58,0.0
10,50,58,0.71
11,50,58,0.67
0,58,66,0.0
1,58,66,0.0
2,58,66,0.0
3,58,66,0.0
4,58,66,0.43
5,58,66,0.0
6,58,66,0.0
7,58,66,0.0
8,58,66,0.78
9,58,66,0.0
10,58,66,0.68
11,58,66,0.57
0,66,74,0.0
1,66,74,0.0
2,66,74,0.0
3,66,74,0.0
4,66,74,0.43
5,66,74,0.0
6,66,74,0.0
7,66,74,0.0
8,66,74,0.67
9,66,74,0.0
10,66,74,0.64
11,66,74,0.62
0,74,82,0.0
1,74,82,0.0
2,74,82,0.0
3,74,82,0.0
4,74,82,0.43
5,74,82,0.0
6,74,82,0.0
7,74,82,0.0
8,74,82,0.33
9,74,82,0.0
10,74,82,0.5
11,74,82,0.62
0,82,90,0.0
1,82,90,0.0
2,82,90,0.0
3,82,90,0.0
4,82,90,0.0
5,82,90,0.0
6,82,90,0.0
7,82,90,0.0
8,82,90,0.44
9,82,90,0.0
10,82,90,0.32
11,82,90,0.62
0,90,98,0.0
1,90,98,0.0
2,90,98,0.0
3,90,98,0.0
4,90,98,0.0
5,90,98,0.0
6,90,98,0.0
7,90,98,0.0
8,90,98,0.33
9,90,98,0.0
10,90,98,0.32
11,90,98,0.62
0,98,106,0.0
1,98,106,0.0
2,98,106,0.0
3,98,106,0.0
4,98,106,0.0
5,98,106,0.0
6,98,106,0.0
7,98,106,0.0
8,98,106,0.33
9,98,106,0.0
10,98,106,0.25
11,98,106,0.62
0,106,114,0.0
1,106,114,0.0
2,106,114,0.0
3,106,114,0.0
4,106,114,0.0
5,106,114,0.0
6,106,114,0.0
7,106,114,0.0
8,106,114,0.33
9,106,114,0.0
10,106,114,0.21
11,106,114,0.62
0,114,122,0.0
1,114,122,0.0
2,114,122,0.0
3,114,122,0.0
4,114,122,0.0
5,114,122,0.0
6,114,122,0.0
7,114,122,0.0
8,114,122,0.0
9,114,122,0.0
10,114,122,0.21
11,114,122,0.57
0,122,130,0.0
1,122,130,0.0
2,122,130,0.0
3,122,130,0.0
4,122,130,0.0
5,122,130,0.0
6,122,130,0.0
7,122,130,0.0
8,122,130,0.0
9,122,130,0.0
10,122,130,0.21
11,122,130,0.62
0,130,138,0.0
1,130,138,0.0
2,130,138,0.0
3,130,138,0.0
4,130,138,0.0
5,130,138,0.0
6,130,138,0.0
7,130,138,0.0
8,130,138,0.0
9,130,138,0.0
10,130,138,0.18
11,130,138,0.57
0,138,146,0.0
1,138,146,0.0
2,138,146,0.0
3,138,146,0.0
4,138,146,0.0
5,138,146,0.0
6,138,146,0.0
7,138,146,0.0
8,138,146,0.0
9,138,146,0.0
10,138,146,0.11
11,138,146,0.57
0,146,154,0.0
1,146,154,0.0
2,146,154,0.0
3,146,154,0.0
4,146,154,0.0
5,146,154,0.0
6,146,154,0.0
7,146,154,0.0
8,146,154,0.0
9,146,154,0.0
10,146,154,0.11
11,146,154,0.52
0,154,162,0.0
1,154,162,0.0
2,154,162,0.0
3,154,162,0.0
4,154,162,0.0
5,154,162,0.0
6,154,162,0.0
7,154,162,0.0
8,154,162,0.0
9,154,162,0.0
10,154,162,0.0
11,154,162,0.52
0,162,170,0.0
1,162,170,0.0
2,162,170,0.0
3,162,170,0.0
4,162,170,0.0
5,162,170,0.0
6,162,170,0.0
7,162,170,0.0
8,162,170,0.0
9,162,170,0.0
10,162,170,0.0
11,162,170,0.57
0,170,178,0.0
1,170,178,0.0
2,170,178,0.0
3,170,178,0.0
4,170,178,0.0
5,170,178,0.0
6,170,178,0.0
7,170,178,0.0
8,170,178,0.0
9,170,178,0.0
10,170,178,0.0
11,170,178,0.52
0,178,186,0.0
1,178,186,0.0
2,178,186,0.0
3,178,186,0.0
4,178,186,0.0
5,178,186,0.0
6,178,186,0.0
7,178,186,0.0
8,178,186,0.0
9,178,186,0.0
10,178,186,0.0
11,178,186,0.52
0,186,194,0.0
1,186,194,0.0
2,186,194,0.0
3,186,194,0.0
4,186,194,0.0
5,186,194,0.0
6,186,194,0.0
7,186,194,0.0
8,186,194,0.0
9,186,194,0.0
10,186,194,0.0
11,186,194,0.52
0,194,202,0.0
1,194,202,0.0
2,194,202,0.0
3,194,202,0.0
4,194,202,0.0
5,194,202,0.0
6,194,202,0.0
7,194,202,0.0
8,194,202,0.0
9,194,202,0.0
10,194,202,0.0
11,194,202,0.33
0,202,210,0.0
1,202,210,0.0
2,202,210,0.0
3,202,210,0.0
4,202,210,0.0
5,202,210,0.0
6,202,210,0.0
7,202,210,0.0
8,202,210,0.0
9,202,210,0.0
10,202,210,0.0
11,202,210,0.52
