clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.0
9,55,80,0.0
10,55,80,0.0
11,55,80,0.0
12,55,80,0.5
13,55,80,0.14
14,55,80,0.67
0,50,58,0.5
1,50,58,0.0
2,50,58,0.0
3,50,58,0.08
4,50,58,0.0
5,50,58,0.0
6,50,58,0.0
7,50,58,0.0
8,50,58,0.0
9,50,58,0.0
10,50,58,0.0
11,50,58,0.0
12,50,58,0.75
13,50,58,0.14
14,50,58,0.67
0,58,66,0.5
1,58,66,0.0
2,58,66,0.0
3,58,66,0.08
4,58,66,0.0
5,58,66,0.0
6,58,66,0.0
7,58,66,0.0
8,58,66,0.0
9,58,66,0.0
10,58,66,0.0
11,58,66,0.0
12,58,66,0.75
13,58,66,0.14
14,58,66,0.67
0,66,74,0.0
1,66,74,0.0
2,66,74,0.0
3,66,74,0.08
4,66,74,0.0
5,66,74,0.0
6,66,74,0.0
7,66,74,0.0
8,66,74,0.0
9,66,74,0.0
10,66,74,0.0
11,66,74,0.0
12,66,74,0.5
13,66,74,0.18
14,66,74,0.67
0,74,82,0.0
1,74,82,0.0
2,74,82,0.0
3,74,82,0.0
4,74,82,0.0
5,74,82,0.0
6,74,82,0.0
7,74,82,0.0
8,74,82,0.0
9,74,82,0.0
10,74,82,0.0
11,74,82,0.0
12,74,82,0.0
13,74,82,0.14
14,74,82,0.67
0,82,90,0.0
1,82,90,0.0
2,82,90,0.0
3,82,90,0.08
4,82,90,0.0
5,82,90,0.0
6,82,90,0.0
7,82,90,0.0
8,82,90,0.0
9,82,90,0.0
10,82,90,0.0
11,82,90,0.0
12,82,90,0.0
13,82,90,0.23
14,82,90,0.56
0,90,98,0.0
1,90,98,0.0
2,90,98,0.0
3,90,98,0.0
4,90,98,0.0
5,90,98,0.0
6,90,98,0.0
7,90,98,0.0
8,90,98,0.0
9,90,98,0.0
10,90,98,0.0
11,90,98,0.0
12,90,98,0.0
13,90,98,0.14
14,90,98,0.56
0,98,106,0.0
1,98,106,0.0
2,98,106,0.0
3,98,106,0.0
4,98,106,0.0
5,98,106,0.0
6,98,106,0.0
7,98,106,0.0
8,98,106,0.0
9,98,106,0.0
10,98,106,0.0
11,98,106,0.0
12,98,106,0.0
13,98,106,0.14
14,98,106,0.56
0,106,114,0.0
1,106,114,0.0
2,106,114,0.0
3,106,114,0.0
4,106,114,0.0
5,106,114,0.0
6,106,114,0.0
7,106,114,0.0
8,106,114,0.0
9,106,114,0.0
10,106,114,0.0
11,106,114,0.0
12,106,114,0.0
13,106,114,0.14
14,106,114,0.56
0,114,122,0.0
1,114,122,0.0
2,114,122,0.0
3,114,122,0.0
4,114,122,0.0
5,114,122,0.0
6,114,122,0.0
7,114,122,0.0
8,114,122,0.0
9,114,122,0.0
10,114,122,0.0
11,114,122,0.0
12,114,122,0.0
13,114,122,0.14
14,114,122,0.44
0,122,130,0.0
1,122,130,0.0
2,122,130,0.0
3,122,130,0.0
4,122,130,0.0
5,122,130,0.0
6,122,130,0.0
7,122,130,0.0
8,122,130,0.0
9,122,130,0.0
10,122,130,0.0
11,122,130,0.0
12,122,130,0.0
13,122,130,0.14
14,122,130,0.44
0,130,138,0.0
1,130,138,0.0
2,130,138,0.0
3,130,138,0.0
4,130,138,0.0
5,130,138,0.0
6,130,138,0.0
7,130,138,0.0
8,130,138,0.0
9,130,138,0.0
10,130,138,0.0
11,130,138,0.0
12,130,138,0.0
13,130,138,0.14
14,130,138,0.0
0,138,146,0.0
1,138,146,0.0
2,138,146,0.0
3,138,146,0.0
4,138,146,0.0
5,138,146,0.0
6,138,146,0.0
7,138,146,0.0
8,138,146,0.0
9,138,146,0.0
10,138,146,0.0
11,138,146,0.0
12,138,146,0.0
13,138,146,0.0
14,138,146,0.0
0,146,154,0.0
1,146,154,0.0
2,146,154,0.0
3,146,154,0.0
4,146,154,0.0
5,146,154,0.0
6,146,154,0.0
7,146,154,0.0
8,146,154,0.0
9,146,154,0.0
10,146,154,0.0
11,146,154,0.0
12,146,154,0.0
13,146,154,0.14
14,146,154,0.0
0,154,162,0.0
1,154,162,0.0
2,154,162,0.0
3,154,162,0.0
4,154,162,0.0
5,154,162,0.0
6,154,162,0.0
7,154,162,0.0
8,154,162,0.0
9,154,162,0.0
10,154,162,0.0
11,154,162,0.0
12,154,162,0.0
13,154,162,0.0
14,154,162,0.0
0,162,170,0.0
1,162,170,0.0
2,162,170,0.0
3,162,170,0.0
4,162,170,0.0
5,162,170,0.0
6,162,170,0.0
7,162,170,0.0
8,162,170,0.0
9,162,170,0.0
10,162,170,0.0
11,162,170,0.0
12,162,170,0.0
13,162,170,0.0
14,162,170,0.0
0,170,178,0.0
1,170,178,0.0
2,170,178,0.0
3,170,178,0.0
4,170,178,0.0
5,170,178,0.0
6,170,178,0.0
7,170,178,0.0
8,170,178,0.0
9,170,178,0.0
10,170,178,0.0
11,170,178,0.0
12,170,178,0.0
13,170,178,0.0
14,170,178,0.0
0,178,186,0.0
1,178,186,0.0
2,178,186,0.0
3,178,186,0.0
4,178,186,0.0
5,178,186,0.0
6,178,186,0.0
7,178,186,0.0
8,178,186,0.0
9,178,186,0.0
10,178,186,0.0
11,178,186,0.0
12,178,186,0.0
13,178,186,0.0
14,178,186,0.0
0,186,194,0.0
1,186,194,0.0
2,186,194,0.0
3,186,194,0.0
4,186,194,0.0
5,186,194,0.0
6,186,194,0.0
7,186,194,0.0
8,186,194,0.0
9,186,194,0.0
10,186,194,0.0
11,186,194,0.0
12,186,194,0.0
13,186,194,0.0
14,186,194,0.0
0,194,202,0.0
1,194,202,0.0
2,194,202,0.0
3,194,202,0.0
4,194,202,0.0
5,194,202,0.0
6,194,202,0.0
7,194,202,0.0
8,194,202,0.0
9,194,202,0.0
10,194,202,0.0
11,194,202,0.0
12,194,202,0.0
13,194,202,0.0
14,194,202,0.0
0,202,210,0.0
1,202,210,0.0
2,202,210,0.0
3,202,210,0.0
4,202,210,0.0
5,202,210,0.0
6,202,210,0.0
7,202,210,0.0
8,202,210,0.0
9,202,210,0.0
10,202,210,0.0
11,202,210,0.0
12,202,210,0.0
13,202,210,0.0
14,202,210,0.0
