clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.36
2,55,80,0.0
3,55,80,0.0
4,55,80,0.33
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.0
9,55,80,0.83
10,55,80,0.0
11,55,80,0.0
12,55,80,0.0
13,55,80,0.31
14,55,80,0.26
15,55,80,0.0
0,50,54,0.0
1,50,54,0.64
2,50,54,0.0
3,50,54,0.0
4,50,54,0.33
5,50,54,0.0
6,50,54,0.0
7,50,54,0.0
8,50,54,0.0
9,50,54,0.83
10,50,54,0.0
11,50,54,0.0
12,50,54,0.0
13,50,54,0.31
14,50,54,0.26
15,50,54,0.0
0,54,58,0.0
1,54,58,0.43
2,54,58,0.0
3,54,58,0.0
4,54,58,0.33
5,54,58,0.0
6,54,58,0.0
7,54,58,0.0
8,54,58,0.0
9,54,58,0.83
10,54,58,0.0
11,54,58,0.0
12,54,58,0.0
13,54,58,0.31
14,54,58,0.26
15,54,58,0.0
0,58,62,0.0
1,58,62,0.43
2,58,62,0.0
3,58,62,0.31
4,58,62,0.33
5,58,62,0.0
6,58,62,0.0
7,58,62,0.0
8,58,62,0.0
9,58,62,1.0
10,58,62,0.0
11,58,62,0.0
12,58,62,0.0
13,58,62,0.31
14,58,62,0.26
15,58,62,0.0
0,62,66,0.0
1,62,66,0.36
2,62,66,0.0
3,62,66,0.0
4,62,66,0.33
5,62,66,0.0
6,62,66,0.0
7,62,66,0.0
8,62,66,0.0
9,62,66,1.0
10,62,66,0.0
11,62,66,0.0
12,62,66,0.0
13,62,66,0.31
14,62,66,0.26
15,62,66,0.0
0,66,70,0.0
1,66,70,0.36
2,66,70,0.0
3,66,70,0.0
4,66,70,0.33
5,66,70,0.0
6,66,70,0.0
7,66,70,0.0
8,66,70,0.0
9,66,70,0.83
10,66,70,0.0
11,66,70,0.0
12,66,70,0.0
13,66,70,0.31
14,66,70,0.26
15,66,70,0.0
0,70,74,0.0
1,70,74,0.36
2,70,74,0.0
3,70,74,0.0
4,70,74,0.33
5,70,74,0.0
6,70,74,0.0
7,70,74,0.0
8,70,74,0.0
9,70,74,0.83
10,70,74,0.0
11,70,74,0.0
12,70,74,0.0
13,70,74,0.31
14,70,74,0.26
15,70,74,0.0
0,74,78,0.0
1,74,78,0.36
2,74,78,0.0
3,74,78,0.0
4,74,78,0.33
5,74,78,0.0
6,74,78,0.0
7,74,78,0.0
8,74,78,0.0
9,74,78,0.92
10,74,78,0.0
11,74,78,0.0
12,74,78,0.0
13,74,78,0.25
14,74,78,0.26
15,74,78,0.0
0,78,82,0.0
1,78,82,0.36
2,78,82,0.0
3,78,82,0.0
4,78,82,0.44
5,78,82,0.0
6,78,82,0.0
7,78,82,0.0
8,78,82,0.0
9,78,82,0.83
10,78,82,0.0
11,78,82,0.0
12,78,82,0.0
13,78,82,0.25
14,78,82,0.26
15,78,82,0.0
0,82,86,0.0
1,82,86,0.36
2,82,86,0.0
3,82,86,0.0
4,82,86,0.44
5,82,86,0.0
6,82,86,0.0
7,82,86,0.0
8,82,86,0.0
9,82,86,0.83
10,82,86,0.0
11,82,86,0.0
12,82,86,0.0
13,82,86,0.25
14,82,86,0.0
15,82,86,0.0
0,86,90,0.0
1,86,90,0.36
2,86,90,0.0
3,86,90,0.0
4,86,90,0.0
5,86,90,0.0
6,86,90,0.0
7,86,90,0.0
8,86,90,0.0
9,86,90,0.92
10,86,90,0.0
11,86,90,0.0
12,86,90,0.0
13,86,90,0.25
14,86,90,0.0
15,86,90,0.0
0,90,94,0.0
1,90,94,0.36
2,90,94,0.0
3,90,94,0.0
4,90,94,0.33
5,90,94,0.0
6,90,94,0.0
7,90,94,0.0
8,90,94,0.0
9,90,94,0.83
10,90,94,0.0
11,90,94,0.0
12,90,94,0.0
13,90,94,0.25
14,90,94,0.26
15,90,94,0.0
0,94,98,0.0
1,94,98,0.29
2,94,98,0.0
3,94,98,0.0
4,94,98,0.33
5,94,98,0.0
6,94,98,0.0
7,94,98,0.0
8,94,98,0.0
9,94,98,0.67
10,94,98,0.0
11,94,98,0.0
12,94,98,0.0
13,94,98,0.25
14,94,98,0.32
15,94,98,0.0
0,98,102,0.0
1,98,102,0.29
2,98,102,0.0
3,98,102,0.0
4,98,102,0.0
5,98,102,0.0
6,98,102,0.0
7,98,102,0.0
8,98,102,0.0
9,98,102,0.83
10,98,102,0.0
11,98,102,0.0
12,98,102,0.0
13,98,102,0.0
14,98,102,0.32
15,98,102,0.0
0,102,106,0.0
1,102,106,0.29
2,102,106,0.0
3,102,106,0.0
4,102,106,0.0
5,102,106,0.0
6,102,106,0.0
7,102,106,0.0
8,102,106,0.0
9,102,106,0.67
10,102,106,0.0
11,102,106,0.0
12,102,106,0.0
13,102,106,0.0
14,102,106,0.26
15,102,106,0.0
0,106,110,0.0
1,106,110,0.29
2,106,110,0.0
3,106,110,0.0
4,106,110,0.0
5,106,110,0.0
6,106,110,0.0
7,106,110,0.0
