clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.67
9,55,80,0.0
10,55,80,0.64
11,55,80,0.57
0,50,52,0.0
1,50,52,0.0
2,50,52,0.0
3,50,52,0.0
4,50,52,0.43
5,50,52,0.0
6,50,52,0.0
7,50,52,0.0
8,50,52,0.44
9,50,52,0.0
10,50,52,0.75
11,50,52,0.67
0,52,54,0.0
1,52,54,0.0
2,52,54,0.0
3,52,54,0.0
4,52,54,0.43
5,52,54,0.0
6,52,54,0.0
7,52,54,0.0
8,52,54,0.44
9,52,54,0.0
10,52,54,0.71
11,52,54,0.67
0,54,56,0.0
1,54,56,0.0
2,54,56,0.0
3,54,56,0.0
4,54,56,0.43
5,54,56,0.0
6,54,56,0.0
7,54,56,0.0
8,54,56,0.78
9,54,56,0.0
10,54,56,0.71
11,54,56,0.62
0,56,58,0.0
1,56,58,0.0
2,56,58,0.0
3,56,58,0.0
4,56,58,0.43
5,56,58,0.0
6,56,58,0.0
7,56,58,0.0
8,56,58,0.78
9,56,58,0.0
10,56,58,0.68
11,56,58,0.57
0,58,60,0.0
1,58,60,0.0
2,58,60,0.0
3,58,60,0.0
4,58,60,0.43
5,58,60,0.0
6,58,60,0.0
7,58,60,0.0
8,58,60,0.78
9,58,60,0.0
10,58,60,0.68
11,58,60,0.57
0,60,62,0.0
1,60,62,0.0
2,60,62,0.0
3,60,62,0.0
4,60,62,0.43
5,60,62,0.0
6,60,62,0.0
7,60,62,0.0
8,60,62,0.44
9,60,62,0.0
10,60,62,0.68
11,60,62,0.57
0,62,64,0.0
1,62,64,0.0
2,62,64,0.0
3,62,64,0.0
4,62,64,0.43
5,62,64,0.0
6,62,64,0.0
7,62,64,0.0
8,62,64,0.44
9,62,64,0.0
10,62,64,0.68
11,62,64,0.71
0,64,66,0.0
1,64,66,0.0
2,64,66,0.0
3,64,66,0.0
4,64,66,0.43
5,64,66,0.0
6,64,66,0.0
7,64,66,0.0
8,64,66,0.44
9,64,66,0.0
10,64,66,0.68
11,64,66,0.62
0,66,68,0.0
1,66,68,0.0
2,66,68,0.0
3,66,68,0.0
4,66,68,0.43
5,66,68,0.0
6,66,68,0.0
7,66,68,0.0
8,66,68,0.78
9,66,68,0.0
10,66,68,0.64
11,66,68,0.62
0,68,70,0.0
1,68,70,0.0
2,68,70,0.0
3,68,70,0.0
4,68,70,0.0
5,68,70,0.0
6,68,70,0.0
7,68,70,0.0
8,68,70,0.78
9,68,70,0.0
10,68,70,0.54
11,68,70,0.62
0,70,72,0.0
1,70,72,0.0
2,70,72,0.0
3,70,72,0.0
4,70,72,0.0
5,70,72,0.0
6,70,72,0.0
7,70,72,0.0
8,70,72,0.44
9,70,72,0.0
10,70,72,0.54
11,70,72,0.62
0,72,74,0.0
1,72,74,0.0
2,72,74,0.0
3,72,74,0.0
4,72,74,0.43
5,72,74,0.0
6,72,74,0.0
7,72,74,0.0
8,72,74,0.33
9,72,74,0.0
10,72,74,0.5
11,72,74,0.62
0,74,76,0.0
1,74,76,0.0
2,74,76,0.0
3,74,76,0.0
4,74,76,0.43
5,74,76,0.0
6,74,76,0.0
7,74,76,0.0
8,74,76,0.33
9,74,76,0.0
10,74,76,0.5
11,74,76,0.62
0,76,78,0.0
1,76,78,0.0
2,76,78,0.0
3,76,78,0.0
4,76,78,0.0
5,76,78,0.0
6,76,78,0.0
7,76,78,0.0
8,76,78,0.33
9,76,78,0.0
10,76,78,0.5
11,76,78,0.62
0,78,80,0.0
1,78,80,0.0
2,78,80,0.0
3,78,80,0.0
4,78,80,0.0
5,78,80,0.0
6,78,80,0.0
7,78,80,0.0
8,78,80,0.44
9,78,80,0.0
10,78,80,0.36
11,78,80,0.62
0,80,82,0.0
1,80,82,0.0
2,80,82,0.0
3,80,82,0.0
4,80,82,0.0
5,80,82,0.0
6,80,82,0.0
7,80,82,0.0
8,80,82,0.44
9,80,82,0.0
10,80,82,0.36
11,80,82,0.62
0,82,84,0.0
1,82,84,0.0
2,82,84,0.0
3,82,84,0.0
4,82,84,0.0
5,82,84,0.0
6,82,84,0.0
7,82,84,0.0
8,82,84,0.44
9,82,84,0.0
10,82,84,0.32
11,82,84,0.62
0,84,86,0.0
1,84,86,0.0
2,84,86,0.0
3,84,86,0.0
4,84,86,0.0
5,84,86,0.0
6,84,86,0.0
7,84,86,0.0
8,84,86,0.33
9,84,86,0.0
10,84,86,0.32
11,84,86,0.62
0,86,88,0.0
1,86,88,0.0
2,86,88,0.0
3,86,88,0.0
4,86,88,0.0
5,86,88,0.0
6,86,88,0.0
7,86,88,0.0
8,86,88,0.0
9,86,88,0.0
10,86,88,0.32
11,86,88,0.62
0,88,90,0.0
1,88,90,0.0
2,88,90,0.0
3,88,90,0.0
4,88,90,0.0
5,88,90,0.0
6,88,90,0.0
7,88,90,0.0
8,88,90,0.0
9,88,90,0.0
10,88,90,0.32
11,88,90,0.62
0,90,92,0.0
1,90,92,0.0
2,90,92,0.0
3,90,92,0.0
4,90,92,0.0
5,90,92,0.0
6,90,92,0.0
7,90,92,0.0
8,90,92,0.33
9,90,92,0.0
10,90,92,0.32
11,90,92,0.62
0,92,94,0.0
1,92,94,0.0
2,92,94,0.0
3,92,94,0.0
4,92,94,0.0
5,92,94,0.0
6,92,94,0.0
7,92,94,0.0
8,92,94,0.33
9,92,94,0.0
10,92,94,0.32
11,92,94,0.62
0,94,96,0.0
1,94,96,0.0
2,94,96,0.0
3,94,96,0.0
4,94,96,0.0
5,94,96,0.0
6,94,96,0.0
7,94,96,0.0
8,94,96,0.33
9,94,96,0.0
10,94,96,0.29
11,94,96,0.62
0,96,98,0.0
1,96,98,0.0
2,96,98,0.0
3,96,98,0.0
4,96,98,0.0
5,96,98,0.0
6,96,98,0.0
7,96,98,0.0
8,96,98,0.33
9,96,98,0.0
10,96,98,0.29
11,96,98,0.62
0,98,100,0.0
1,98,100,0.0
2,98,100,0.0
3,98,100,0.0
4,98,100,0.0
5,98,100,0.0
6,98,100,0.0
7,98,100,0.0
8,98,100,0.33
9,98,100,0.0
10,98,100,0.29
11,98,100,0.62
0,100,102,0.0
1,100,102,0.0
2,100,102,0.0
3,100,102,0.0
4,100,102,0.0
5,100,102,0.0
6,100,102,0.0
7,100,102,0.0
8,100,102,0.33
9,100,102,0.0
10,100,102,0.25
11,100,102,0.62
0,102,104,0.0
1,102,104,0.0
2,102,104,0.0
3,102,104,0.0
4,102,104,0.0
5,102,104,0.0
6,102,104,0.0
7,102,104,0.0
8,102,104,0.33
9,102,104,0.0
10,102,104,0.25
11,102,104,0.62
0,104,106,0.0
1,104,106,0.0
