clip_id,lmin,lmax,trk_rate
0,55,80,0.0
1,55,80,0.0
2,55,80,0.0
3,55,80,0.0
4,55,80,0.0
5,55,80,0.0
6,55,80,0.0
7,55,80,0.0
8,55,80,0.0
9,55,80,0.0
10,55,80,0.0
11,55,80,0.0
12,55,80,0.5
13,55,80,0.14
14,55,80,0.67
0,50,54,0.5
1,50,54,0.0
2,50,54,0.0
3,50,54,0.08
4,50,54,0.0
5,50,54,0.0
6,50,54,0.0
7,50,54,0.0
8,50,54,0.0
9,50,54,0.0
10,50,54,0.0
11,50,54,0.0
12,50,54,0.75
13,50,54,0.18
14,50,54,0.67
0,54,58,0.5
1,54,58,0.0
2,54,58,0.0
3,54,58,0.08
4,54,58,0.0
5,54,58,0.0
6,54,58,0.0
7,54,58,0.0
8,54,58,0.0
9,54,58,0.0
10,54,58,0.0
11,54,58,0.0
12,54,58,0.75
13,54,58,0.14
14,54,58,0.67
0,58,62,0.5
1,58,62,0.0
2,58,62,0.0
3,58,62,0.08
4,58,62,0.0
5,58,62,0.0
6,58,62,0.0
7,58,62,0.0
8,58,62,0.0
9,58,62,0.0
10,58,62,0.0
11,58,62,0.0
12,58,62,0.75
13,58,62,0.14
14,58,62,0.67
0,62,66,0.5
1,62,66,0.0
2,62,66,0.0
3,62,66,0.11
4,62,66,0.0
5,62,66,0.0
6,62,66,0.0
7,62,66,0.0
8,62,66,0.0
9,62,66,0.0
10,62,66,0.0
11,62,66,0.0
12,62,66,0.5
13,62,66,0.14
14,62,66,0.67
0,66,70,0.0
1,66,70,0.0
2,66,70,0.0
3,66,70,0.08
4,66,70,0.0
5,66,70,0.0
6,66,70,0.0
7,66,70,0.0
8,66,70,0.0
9,66,70,0.0
10,66,70,0.0
11,66,70,0.0
12,66,70,0.5
13,66,70,0.18
14,66,70,0.67
0,70,74,0.0
1,70,74,0.0
2,70,74,0.0
3,70,74,0.08
4,70,74,0.0
5,70,74,0.0
6,70,74,0.0
7,70,74,0.0
8,70,74,0.0
9,70,74,0.0
10,70,74,0.0
11,70,74,0.0
12,70,74,0.5
13,70,74,0.14
14,70,74,0.67
0,74,78,0.0
1,74,78,0.0
2,74,78,0.0
3,74,78,0.0
4,74,78,0.0
5,74,78,0.0
6,74,78,0.0
7,74,78,0.0
8,74,78,0.0
9,74,78,0.0
10,74,78,0.0
11,74,78,0.0
12,74,78,0.0
13,74,78,0.14
14,74,78,0.67
0,78,82,0.0
1,78,82,0.0
2,78,82,0.0
3,78,82,0.08
4,78,82,0.0
5,78,82,0.0
6,78,82,0.0
7,78,82,0.0
8,78,82,0.0
9,78,82,0.0
10,78,82,0.0
11,78,82,0.0
12,78,82,0.0
13,78,82,0.14
14,78,82,0.56
0,82,86,0.0
1,82,86,0.0
2,82,86,0.0
3,82,86,0.08
4,82,86,0.0
5,82,86,0.0
6,82,86,0.0
7,82,86,0.0
8,82,86,0.0
9,82,86,0.0
10,82,86,0.0
11,82,86,0.0
12,82,86,0.0
13,82,86,0.23
14,82,86,0.56
0,86,90,0.0
1,86,90,0.0
2,86,90,0.0
3,86,90,0.08
4,86,90,0.0
5,86,90,0.0
6,86,90,0.0
7,86,90,0.0
8,86,90,0.0
9,86,90,0.0
10,86,90,0.0
11,86,90,0.0
12,86,90,0.0
13,86,90,0.18
14,86,90,0.56
0,90,94,0.0
1,90,94,0.0
2,90,94,0.0
3,90,94,0.0
4,90,94,0.0
5,90,94,0.0
6,90,94,0.0
7,90,94,0.0
8,90,94,0.0
9,90,94,0.0
10,90,94,0.0
11,90,94,0.0
12,90,94,0.0
13,90,94,0.18
14,90,94,0.56
0,94,98,0.0
1,94,98,0.0
2,94,98,0.0
3,94,98,0.0
4,94,98,0.0
5,94,98,0.0
6,94,98,0.0
7,94,98,0.0
8,94,98,0.0
9,94,98,0.0
10,94,98,0.0
11,94,98,0.0
12,94,98,0.0
13,94,98,0.14
14,94,98,0.56
0,98,102,0.0
1,98,102,0.0
2,98,102,0.0
3,98,102,0.0
4,98,102,0.0
5,98,102,0.0
6,98,102,0.0
7,98,102,0.0
8,98,102,0.0
9,98,102,0.0
10,98,102,0.0
11,98,102,0.0
12,98,102,0.0
13,98,102,0.14
14,98,102,0.56
0,102,106,0.0
1,102,106,0.0
2,102,106,0.0
3,102,106,0.0
4,102,106,0.0
5,102,106,0.0
6,102,106,0.0
7,102,106,0.0
8,102,106,0.0
9,102,106,0.0
10,102,106,0.0
11,102,106,0.0
12,102,106,0.0
13,102,106,0.14
14,102,106,0.56
0,106,110,0.0
1,106,110,0.0
2,106,110,0.0
3,106,110,0.0
4,106,110,0.0
5,106,110,0.0
6,106,110,0.0
7,106,110,0.0
8,106,110,0.0
9,106,110,0.0
10,106,110,0.0
11,106,110,0.0
12,106,110,0.0
13,106,110,0.14
14,106,110,0.56
0,110,114,0.0
1,110,114,0.0
2,110,114,0.0
3,110,114,0.0
4,110,114,0.0
5,110,114,0.0
6,110,114,0.0
7,110,114,0.0
8,110,114,0.0
9,110,114,0.0
10,110,114,0.0
11,110,114,0.0
12,110,114,0.0
13,110,114,0.14
14,110,114,0.44
0,114,118,0.0
1,114,118,0.0
2,114,118,0.0
3,114,118,0.0
4,114,118,0.0
5,114,118,0.0
6,114,118,0.0
7,114,118,0.0
8,114,118,0.0
9,114,118,0.0
10,114,118,0.0
11,114,118,0.0
12,114,118,0.0
13,114,118,0.14
14,114,118,0.44
0,118,122,0.0
1,118,122,0.0
2,118,122,0.0
3,118,122,0.0
4,118,122,0.0
5,118,122,0.0
6,118,122,0.0
7,118,122,0.0
8,118,122,0.0
9,118,122,0.0
10,118,122,0.0
11,118,122,0.0
12,118,122,0.0
13,118,122,0.0
14,118,122,0.44
0,122,126,0.0
1,122,126,0.0
2,122,126,0.0
3,122,126,0.0
4,122,126,0.0
5,122,126,0.0
6,122,126,0.0
7,122,126,0.0
8,122,126,0.0
9,122,126,0.0
10,122,126,0.0
11,122,126,0.0
12,122,126,0.0
13,122,126,0.14
14,122,126,0.44
0,126,130,0.0
1,126,130,0.0
2,126,130,0.0
3,126,130,0.0
4,126,130,0.0
5,126,130,0.0
6,126,130,0.0
7,126,130,0.0
8,126,130,0.0
9,126,130,0.0
10,126,130,0.0
11,126,130,0.0
12,126,130,0.0
13,126,130,0.14
14,126,130,0.0
0,130,134,0.0
1,130,134,0.0
2,130,134,0.0
3,130,134,0.0
4,130,134,0.0
5,130,134,0.0
6,130,134,0.0
7,130,134,0.0
8,130,134,0.0
9,130,134,0.0
10,130,134,0.0
11,130,134,0.0
12,130,134,0.0
13,130,134,0.14
14,130,134,0.0
0,134,138,0.0
1,134,138,0.0
2,134,138,0.0
3,134,138,0.0
4,134,138,0.0
5,134,138,0.0
6,134,138,0.0
7,134,138,0.0
