ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.32,5.380778165310801,-1,369,-1,-1,-1,5.380778165310801,-1,369,-1
185.18.250.168,7.027186454018769,-1,331,-1,-1,-1,7.027186454018769,-1,331,-1
185.18.250.93,6.941434139657793,-1,404,-1,-1,-1,6.941434139657793,-1,404,-1
185.18.250.140,7.620239061635515,-1,299,-1,-1,-1,7.620239061635515,-1,299,-1
185.18.250.41,5.382282863566444,-1,307,-1,-1,-1,5.382282863566444,-1,307,-1
185.18.250.0,5.015455816594336,-1,397,-1,-1,-1,5.015455816594336,-1,397,-1
185.18.250.246,6.831156882694653,-1,370,-1,-1,-1,6.831156882694653,-1,370,-1
185.18.250.137,6.033107340209173,-1,347,-1,-1,-1,6.033107340209173,-1,347,-1
185.18.250.92,6.089224400729729,-1,326,-1,-1,-1,6.089224400729729,-1,326,-1
185.18.250.100,7.3626325798486105,-1,353,-1,-1,-1,7.3626325798486105,-1,353,-1
185.18.250.45,8.040881934015694,-1,356,-1,-1,-1,8.040881934015694,-1,356,-1
185.18.250.211,7.497065156903796,-1,356,-1,-1,-1,7.497065156903796,-1,356,-1
185.18.250.9,5.314873396207499,-1,355,-1,-1,-1,5.314873396207499,-1,355,-1
185.18.250.51,7.412088140936765,-1,322,-1,-1,-1,7.412088140936765,-1,322,-1
185.18.250.156,5.111659178897638,-1,365,-1,-1,-1,5.111659178897638,-1,365,-1
185.18.250.83,7.236816806445877,-1,273,-1,-1,-1,7.236816806445877,-1,273,-1
185.18.250.113,8.786119214246224,-1,263,-1,-1,-1,8.786119214246224,-1,263,-1
185.18.250.219,8.274207997216765,-1,256,-1,-1,-1,8.274207997216765,-1,256,-1
185.18.250.102,7.528131522194615,-1,286,-1,-1,-1,7.528131522194615,-1,286,-1
173.245.59.0,7.979879054148399,-1,256,-1,-1,-1,7.979879054148399,-1,256,-1
173.245.49.177,5.594017338201555,-1,256,-1,-1,-1,5.594017338201555,-1,256,-1
173.245.49.78,8.49576203769326,-1,250,-1,-1,-1,8.49576203769326,-1,250,-1
154.84.175.188,7.581813046667263,-1,275,-1,-1,-1,7.581813046667263,-1,275,-1
154.84.175.175,8.27556660286896,-1,266,-1,-1,-1,8.27556660286896,-1,266,-1
154.84.175.192,6.901880213673729,-1,278,-1,-1,-1,6.901880213673729,-1,278,-1
154.84.175.191,6.581193417217581,-1,261,-1,-1,-1,6.581193417217581,-1,261,-1
154.84.175.145,7.789161496710906,-1,290,-1,-1,-1,7.789161496710906,-1,290,-1
154.84.175.236,7.6432188255558176,-1,281,-1,-1,-1,7.6432188255558176,-1,281,-1
154.84.175.76,7.01509768285575,-1,276,-1,-1,-1,7.01509768285575,-1,276,-1
154.84.175.73,6.041412493155801,-1,290,-1,-1,-1,6.041412493155801,-1,290,-1
154.84.175.135,5.350642376038045,-1,324,-1,-1,-1,5.350642376038045,-1,324,-1
154.84.175.45,7.039656470237413,-1,290,-1,-1,-1,7.039656470237413,-1,290,-1
154.84.175.84,5.413822655937553,-1,300,-1,-1,-1,5.413822655937553,-1,300,-1
154.84.175.183,7.281927126740327,-1,287,-1,-1,-1,7.281927126740327,-1,287,-1
