ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.134,5.605059087348703,-1,374,-1,-1,-1,5.605059087348703,-1,374,-1
185.18.250.38,6.28598688204254,-1,336,-1,-1,-1,6.28598688204254,-1,336,-1
185.18.250.85,7.833452266136292,-1,341,-1,-1,-1,7.833452266136292,-1,341,-1
185.18.250.224,2.234986166088844,-1,339,-1,-1,-1,2.234986166088844,-1,339,-1
185.18.250.124,3.4270421452210362,-1,423,-1,-1,-1,3.4270421452210362,-1,423,-1
185.18.250.87,5.32602691210081,-1,368,-1,-1,-1,5.32602691210081,-1,368,-1
185.18.250.126,7.665624684836592,-1,354,-1,-1,-1,7.665624684836592,-1,354,-1
185.18.250.148,5.455174064151312,-1,404,-1,-1,-1,5.455174064151312,-1,404,-1
185.18.250.122,2.880954387569329,-1,361,-1,-1,-1,2.880954387569329,-1,361,-1
185.18.250.170,6.424189901492704,-1,418,-1,-1,-1,6.424189901492704,-1,418,-1
185.18.250.133,6.362224419713084,-1,322,-1,-1,-1,6.362224419713084,-1,322,-1
185.18.250.248,7.109377054938532,-1,344,-1,-1,-1,7.109377054938532,-1,344,-1
185.18.250.40,5.7861083463114715,-1,330,-1,-1,-1,5.7861083463114715,-1,330,-1
185.18.250.131,5.764365160201414,-1,315,-1,-1,-1,5.764365160201414,-1,315,-1
185.18.250.141,6.237666427885923,-1,333,-1,-1,-1,6.237666427885923,-1,333,-1
185.18.250.246,3.3763301949905653,-1,307,-1,-1,-1,3.3763301949905653,-1,307,-1
185.18.250.161,6.6014224977588185,-1,271,-1,-1,-1,6.6014224977588185,-1,271,-1
185.18.250.189,6.75887661207666,-1,247,-1,-1,-1,6.75887661207666,-1,247,-1
185.18.250.107,7.489831897716334,-1,254,-1,-1,-1,7.489831897716334,-1,254,-1
173.245.59.212,7.534658439420153,-1,250,-1,-1,-1,7.534658439420153,-1,250,-1
154.84.175.233,6.910820304042687,-1,248,-1,-1,-1,6.910820304042687,-1,248,-1
154.84.175.153,6.7202059311268885,-1,253,-1,-1,-1,6.7202059311268885,-1,253,-1
154.84.175.45,7.06621333364261,-1,291,-1,-1,-1,7.06621333364261,-1,291,-1
154.84.175.5,6.623046016063568,-1,271,-1,-1,-1,6.623046016063568,-1,271,-1
154.84.175.131,6.587418702463453,-1,288,-1,-1,-1,6.587418702463453,-1,288,-1
154.84.175.172,5.17824325610036,-1,262,-1,-1,-1,5.17824325610036,-1,262,-1
154.84.175.16,7.5595252849223735,-1,360,-1,-1,-1,7.5595252849223735,-1,360,-1
154.84.175.197,5.994588789413328,-1,324,-1,-1,-1,5.994588789413328,-1,324,-1
154.84.175.60,4.615117036084653,-1,299,-1,-1,-1,4.615117036084653,-1,299,-1
154.84.175.103,6.047397261962166,-1,325,-1,-1,-1,6.047397261962166,-1,325,-1
154.84.175.216,6.699535424858868,-1,262,-1,-1,-1,6.699535424858868,-1,262,-1
