ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.70,5.492345712649909,-1,369,-1,-1,-1,5.492345712649909,-1,369,-1
185.18.250.36,5.211712124404972,-1,355,-1,-1,-1,5.211712124404972,-1,355,-1
185.18.250.28,5.986489600251199,-1,357,-1,-1,-1,5.986489600251199,-1,357,-1
185.18.250.176,5.409261185401653,-1,402,-1,-1,-1,5.409261185401653,-1,402,-1
185.18.250.234,6.848962358826327,-1,333,-1,-1,-1,6.848962358826327,-1,333,-1
185.18.250.74,5.233387871298255,-1,444,-1,-1,-1,5.233387871298255,-1,444,-1
185.18.250.141,6.615357950109235,-1,364,-1,-1,-1,6.615357950109235,-1,364,-1
185.18.250.241,5.500998561944442,-1,386,-1,-1,-1,5.500998561944442,-1,386,-1
185.18.250.212,3.886350896575192,-1,411,-1,-1,-1,3.886350896575192,-1,411,-1
185.18.250.92,4.526604888186131,-1,382,-1,-1,-1,4.526604888186131,-1,382,-1
185.18.250.114,5.513272165647383,-1,376,-1,-1,-1,5.513272165647383,-1,376,-1
185.18.250.164,4.305960403906537,-1,388,-1,-1,-1,4.305960403906537,-1,388,-1
185.18.250.245,4.856610605427712,-1,367,-1,-1,-1,4.856610605427712,-1,367,-1
185.18.250.253,5.201187288168965,-1,373,-1,-1,-1,5.201187288168965,-1,373,-1
185.18.250.189,5.470754454528334,-1,363,-1,-1,-1,5.470754454528334,-1,363,-1
185.18.250.217,6.545588122983168,-1,342,-1,-1,-1,6.545588122983168,-1,342,-1
185.18.250.197,8.4539605182506,-1,287,-1,-1,-1,8.4539605182506,-1,287,-1
185.18.250.81,7.4925816183739125,-1,276,-1,-1,-1,7.4925816183739125,-1,276,-1
185.18.250.3,6.153515141986586,-1,265,-1,-1,-1,6.153515141986586,-1,265,-1
185.18.250.66,5.02552836505516,-1,263,-1,-1,-1,5.02552836505516,-1,263,-1
173.245.49.50,7.162689350879315,-1,255,-1,-1,-1,7.162689350879315,-1,255,-1
173.245.58.102,6.11186572267555,-1,285,-1,-1,-1,6.11186572267555,-1,285,-1
173.245.49.143,7.211312067971968,-1,245,-1,-1,-1,7.211312067971968,-1,245,-1
154.84.175.193,7.369889619304777,-1,269,-1,-1,-1,7.369889619304777,-1,269,-1
154.84.175.59,7.639905506594312,-1,268,-1,-1,-1,7.639905506594312,-1,268,-1
154.84.175.157,7.811472379406845,-1,259,-1,-1,-1,7.811472379406845,-1,259,-1
154.84.175.42,6.944903881553112,-1,274,-1,-1,-1,6.944903881553112,-1,274,-1
154.84.175.177,6.76055580086496,-1,289,-1,-1,-1,6.76055580086496,-1,289,-1
154.84.175.71,6.632520461683771,-1,297,-1,-1,-1,6.632520461683771,-1,297,-1
154.84.175.28,7.598038535628987,-1,288,-1,-1,-1,7.598038535628987,-1,288,-1
154.84.175.14,5.572055611720045,-1,264,-1,-1,-1,5.572055611720045,-1,264,-1
154.84.175.81,4.674206957127163,-1,279,-1,-1,-1,4.674206957127163,-1,279,-1
154.84.175.80,7.7062340432781316,-1,324,-1,-1,-1,7.7062340432781316,-1,324,-1
154.84.175.122,5.192746001200759,-1,337,-1,-1,-1,5.192746001200759,-1,337,-1
154.84.175.180,6.954578508621269,-1,330,-1,-1,-1,6.954578508621269,-1,330,-1
154.84.175.68,7.390445035777371,-1,304,-1,-1,-1,7.390445035777371,-1,304,-1
154.84.175.238,7.094430622819467,-1,334,-1,-1,-1,7.094430622819467,-1,334,-1
154.84.175.20,6.964117229115457,-1,303,-1,-1,-1,6.964117229115457,-1,303,-1
154.84.175.224,6.776544839946578,-1,298,-1,-1,-1,6.776544839946578,-1,298,-1
154.84.175.212,4.317091073300194,-1,301,-1,-1,-1,4.317091073300194,-1,301,-1
154.84.175.30,5.7511052760439645,-1,286,-1,-1,-1,5.7511052760439645,-1,286,-1
154.84.175.102,3.4656785577096785,-1,355,-1,-1,-1,3.4656785577096785,-1,355,-1
154.84.175.248,5.793363638286444,-1,321,-1,-1,-1,5.793363638286444,-1,321,-1
185.238.228.21,6.559098221151051,-1,387,-1,-1,-1,6.559098221151051,-1,387,-1
185.238.228.122,6.821482078603229,-1,352,-1,-1,-1,6.821482078603229,-1,352,-1
185.238.228.117,7.291035128086845,-1,343,-1,-1,-1,7.291035128086845,-1,343,-1
185.238.228.186,5.509896421353312,-1,402,-1,-1,-1,5.509896421353312,-1,402,-1
185.238.228.47,7.4134213394471535,-1,380,-1,-1,-1,7.4134213394471535,-1,380,-1
185.238.228.226,5.652520661362571,-1,354,-1,-1,-1,5.652520661362571,-1,354,-1
185.238.228.80,7.940700122297779,-1,384,-1,-1,-1,7.940700122297779,-1,384,-1
185.238.228.114,6.692502178919969,-1,361,-1,-1,-1,6.692502178919969,-1,361,-1
185.238.228.36,7.403604011512657,-1,383,-1,-1,-1,7.403604011512657,-1,383,-1
185.238.228.57,6.651975722923942,-1,399,-1,-1,-1,6.651975722923942,-1,399,-1
185.238.228.240,4.49193878628249,-1,359,-1,-1,-1,4.49193878628249,-1,359,-1
185.238.228.163,6.1154606306680295,-1,312,-1,-1,-1,6.1154606306680295,-1,312,-1
185.238.228.128,6.120039526346339,-1,341,-1,-1,-1,6.120039526346339,-1,341,-1
185.238.228.9,7.05922468048662,-1,331,-1,-1,-1,7.05922468048662,-1,331,-1
185.238.228.239,5.85372932390428,-1,310,-1,-1,-1,5.85372932390428,-1,310,-1
185.238.228.189,6.89633454899197,-1,309,-1,-1,-1,6.89633454899197,-1,309,-1
185.238.228.3,5.016191293612659,-1,380,-1,-1,-1,5.016191293612659,-1,380,-1
185.238.228.42,6.520699291446111,-1,320,-1,-1,-1,6.520699291446111,-1,320,-1
185.238.228.56,6.71424447451253,-1,401,-1,-1,-1,6.71424447451253,-1,401,-1
185.238.228.195,6.365797638796015,-1,306,-1,-1,-1,6.365797638796015,-1,306,-1
185.176.26.137,6.170045418378734,-1,445,-1,-1,-1,6.170045418378734,-1,445,-1
185.176.26.60,6.199280489738967,-1,385,-1,-1,-1,6.199280489738967,-1,385,-1
185.176.26.185,5.82704558074113,-1,337,-1,-1,-1,5.82704558074113,-1,337,-1
185.176.26.37,5.419276519773231,-1,343,-1,-1,-1,5.419276519773231,-1,343,-1
185.176.26.65,7.2778776281571895,-1,406,-1,-1,-1,7.2778776281571895,-1,406,-1
185.176.26.165,4.350147907518985,-1,374,-1,-1,-1,4.350147907518985,-1,374,-1
185.176.26.42,5.305540119930608,-1,318,-1,-1,-1,5.305540119930608,-1,318,-1
185.176.26.10,6.678484523465825,-1,387,-1,-1,-1,6.678484523465825,-1,387,-1
185.176.26.11,4.3826167035215935,-1,341,-1,-1,-1,4.3826167035215935,-1,341,-1
185.176.26.81,6.803940532666201,-1,403,-1,-1,-1,6.803940532666201,-1,403,-1
185.176.26.158,5.425059479468378,-1,432,-1,-1,-1,5.425059479468378,-1,432,-1
185.176.26.76,5.929844850424285,-1,453,-1,-1,-1,5.929844850424285,-1,453,-1
185.176.26.170,5.936549535526631,-1,418,-1,-1,-1,5.936549535526631,-1,418,-1
185.176.26.184,6.563109171750085,-1,443,-1,-1,-1,6.563109171750085,-1,443,-1
203.22.223.96,7.666496074513436,-1,355,-1,-1,-1,7.666496074513436,-1,355,-1
203.22.223.227,6.83215116046345,-1,395,-1,-1,-1,6.83215116046345,-1,395,-1
203.22.223.194,6.694196494020894,-1,428,-1,-1,-1,6.694196494020894,-1,428,-1
203.22.223.101,4.401401331365637,-1,397,-1,-1,-1,4.401401331365637,-1,397,-1
203.22.223.69,5.8315315724113495,-1,382,-1,-1,-1,5.8315315724113495,-1,382,-1
203.22.223.12,5.52966352054088,-1,411,-1,-1,-1,5.52966352054088,-1,411,-1
203.22.223.44,6.0294755585398665,-1,431,-1,-1,-1,6.0294755585398665,-1,431,-1
203.22.223.95,7.6262951417274625,-1,361,-1,-1,-1,7.6262951417274625,-1,361,-1
203.22.223.14,6.572861417654717,-1,316,-1,-1,-1,6.572861417654717,-1,316,-1
203.22.223.204,6.946758885265751,-1,307,-1,-1,-1,6.946758885265751,-1,307,-1
203.22.223.152,7.013582477267876,-1,320,-1,-1,-1,7.013582477267876,-1,320,-1
203.22.223.47,7.670843638935782,-1,364,-1,-1,-1,7.670843638935782,-1,364,-1
203.22.223.174,6.903194620601078,-1,347,-1,-1,-1,6.903194620601078,-1,347,-1
203.22.223.155,5.666213478230391,-1,311,-1,-1,-1,5.666213478230391,-1,311,-1
203.22.223.23,4.492266114609891,-1,352,-1,-1,-1,4.492266114609891,-1,352,-1
203.22.223.11,5.332971935782382,-1,352,-1,-1,-1,5.332971935782382,-1,352,-1
203.22.223.53,7.165842028809123,-1,351,-1,-1,-1,7.165842028809123,-1,351,-1
203.22.223.121,7.299208202805802,-1,296,-1,-1,-1,7.299208202805802,-1,296,-1
203.22.223.15,6.920007746442332,-1,317,-1,-1,-1,6.920007746442332,-1,317,-1
199.212.90.9,5.983388214649618,-1,284,-1,-1,-1,5.983388214649618,-1,284,-1
199.212.90.122,7.027251020639809,-1,297,-1,-1,-1,7.027251020639809,-1,297,-1
199.212.90.37,5.698214186180895,-1,310,-1,-1,-1,5.698214186180895,-1,310,-1
199.212.90.203,4.655754528637445,-1,330,-1,-1,-1,4.655754528637445,-1,330,-1
199.212.90.26,3.87933890482091,-1,312,-1,-1,-1,3.87933890482091,-1,312,-1
199.212.90.148,4.937139476362504,-1,362,-1,-1,-1,4.937139476362504,-1,362,-1
199.212.90.79,5.186699696619798,-1,357,-1,-1,-1,5.186699696619798,-1,357,-1
199.212.90.174,5.891858284925173,-1,343,-1,-1,-1,5.891858284925173,-1,343,-1
199.212.90.139,6.848305764290478,-1,565,-1,-1,-1,6.848305764290478,-1,565,-1
199.212.90.242,5.400912393697614,-1,354,-1,-1,-1,5.400912393697614,-1,354,-1
199.212.90.153,5.989920865020349,-1,334,-1,-1,-1,5.989920865020349,-1,334,-1
199.212.90.215,7.046410220903815,-1,334,-1,-1,-1,7.046410220903815,-1,334,-1
199.212.90.47,7.17901998177675,-1,298,-1,-1,-1,7.17901998177675,-1,298,-1
199.212.90.220,7.46572913061524,-1,300,-1,-1,-1,7.46572913061524,-1,300,-1
199.212.90.95,5.1540285622371185,-1,339,-1,-1,-1,5.1540285622371185,-1,339,-1
199.212.90.189,5.798518052528645,-1,321,-1,-1,-1,5.798518052528645,-1,321,-1
199.212.90.88,5.286292414454608,-1,280,-1,-1,-1,5.286292414454608,-1,280,-1
199.212.90.146,4.378573189316809,-1,321,-1,-1,-1,4.378573189316809,-1,321,-1
199.212.90.141,7.272152244253445,-1,275,-1,-1,-1,7.272152244253445,-1,275,-1
199.212.90.184,7.07054753733002,-1,283,-1,-1,-1,7.07054753733002,-1,283,-1
203.34.28.34,5.793127531618751,-1,287,-1,-1,-1,5.793127531618751,-1,287,-1
203.34.28.65,5.167481999694735,-1,255,-1,-1,-1,5.167481999694735,-1,255,-1
203.34.28.48,4.275614604565264,-1,268,-1,-1,-1,4.275614604565264,-1,268,-1
203.34.28.181,7.463737408479675,-1,262,-1,-1,-1,7.463737408479675,-1,262,-1
203.34.28.67,6.312813480632681,-1,345,-1,-1,-1,6.312813480632681,-1,345,-1
203.34.28.83,6.475605177279744,-1,273,-1,-1,-1,6.475605177279744,-1,273,-1
203.34.28.244,7.580747301443643,-1,281,-1,-1,-1,7.580747301443643,-1,281,-1
203.34.28.92,8.200646698889484,-1,320,-1,-1,-1,8.200646698889484,-1,320,-1
203.34.28.108,7.315442875164635,-1,358,-1,-1,-1,7.315442875164635,-1,358,-1
203.34.28.80,6.587808295694661,-1,341,-1,-1,-1,6.587808295694661,-1,341,-1
203.34.28.249,5.997659398230239,-1,343,-1,-1,-1,5.997659398230239,-1,343,-1
203.34.28.207,6.265511792002944,-1,314,-1,-1,-1,6.265511792002944,-1,314,-1
203.34.28.191,6.380763834567673,-1,279,-1,-1,-1,6.380763834567673,-1,279,-1
203.34.28.180,5.663668497363088,-1,271,-1,-1,-1,5.663668497363088,-1,271,-1
203.34.28.76,6.572659236209071,-1,263,-1,-1,-1,6.572659236209071,-1,263,-1
203.34.28.104,6.394621202570883,-1,271,-1,-1,-1,6.394621202570883,-1,271,-1
203.34.28.50,7.0099872164551975,-1,289,-1,-1,-1,7.0099872164551975,-1,289,-1
203.34.28.3,6.274957466748559,-1,292,-1,-1,-1,6.274957466748559,-1,292,-1
203.34.28.75,7.1101400237400725,-1,270,-1,-1,-1,7.1101400237400725,-1,270,-1
203.34.28.32,5.614543588060645,-1,299,-1,-1,-1,5.614543588060645,-1,299,-1
170.114.46.92,7.16111042954548,-1,269,-1,-1,-1,7.16111042954548,-1,269,-1
170.114.46.132,4.6614759812164,-1,282,-1,-1,-1,4.6614759812164,-1,282,-1
170.114.46.62,8.055501681233224,-1,291,-1,-1,-1,8.055501681233224,-1,291,-1
170.114.46.50,6.743748896714712,-1,288,-1,-1,-1,6.743748896714712,-1,288,-1
170.114.46.77,6.749327935862861,-1,288,-1,-1,-1,6.749327935862861,-1,288,-1
170.114.46.6,6.268531689500184,-1,287,-1,-1,-1,6.268531689500184,-1,287,-1
170.114.46.243,6.05720920522733,-1,286,-1,-1,-1,6.05720920522733,-1,286,-1
170.114.46.234,7.323501306787717,-1,278,-1,-1,-1,7.323501306787717,-1,278,-1
170.114.46.165,7.304564015453414,-1,288,-1,-1,-1,7.304564015453414,-1,288,-1
170.114.46.146,7.197640829456314,-1,260,-1,-1,-1,7.197640829456314,-1,260,-1
170.114.46.80,6.417910951788268,-1,260,-1,-1,-1,6.417910951788268,-1,260,-1
170.114.46.229,6.684604133235016,-1,300,-1,-1,-1,6.684604133235016,-1,300,-1
170.114.46.32,3.7904732160520678,-1,294,-1,-1,-1,3.7904732160520678,-1,294,-1
170.114.46.31,6.001656427047162,-1,296,-1,-1,-1,6.001656427047162,-1,296,-1
170.114.46.134,5.468810423843266,-1,297,-1,-1,-1,5.468810423843266,-1,297,-1
170.114.46.242,7.357122496751862,-1,280,-1,-1,-1,7.357122496751862,-1,280,-1
170.114.46.211,5.923508344608875,-1,270,-1,-1,-1,5.923508344608875,-1,270,-1
170.114.46.42,7.363733242016095,-1,291,-1,-1,-1,7.363733242016095,-1,291,-1
170.114.46.7,4.599213101094067,-1,377,-1,-1,-1,4.599213101094067,-1,377,-1
170.114.46.106,7.512928576408585,-1,293,-1,-1,-1,7.512928576408585,-1,293,-1
185.146.173.58,5.683235882586104,-1,256,-1,-1,-1,5.683235882586104,-1,256,-1
185.146.173.221,7.410673661591253,-1,298,-1,-1,-1,7.410673661591253,-1,298,-1
185.146.173.51,7.637533942730484,-1,296,-1,-1,-1,7.637533942730484,-1,296,-1
185.146.173.109,6.858364703896138,-1,295,-1,-1,-1,6.858364703896138,-1,295,-1
185.146.173.205,7.837373404695329,-1,308,-1,-1,-1,7.837373404695329,-1,308,-1
185.146.173.243,6.547322294096691,-1,265,-1,-1,-1,6.547322294096691,-1,265,-1
185.146.173.248,7.009105081663972,-1,256,-1,-1,-1,7.009105081663972,-1,256,-1
185.146.173.114,6.477519585865405,-1,283,-1,-1,-1,6.477519585865405,-1,283,-1
195.85.23.55,7.848580476126052,-1,285,-1,-1,-1,7.848580476126052,-1,285,-1
195.85.23.32,7.605021858495822,-1,294,-1,-1,-1,7.605021858495822,-1,294,-1
195.85.23.177,6.7960968013376775,-1,304,-1,-1,-1,6.7960968013376775,-1,304,-1
195.85.23.140,7.925189146799919,-1,278,-1,-1,-1,7.925189146799919,-1,278,-1
195.85.23.19,7.665105118609528,-1,304,-1,-1,-1,7.665105118609528,-1,304,-1
195.85.23.176,6.215303843260388,-1,279,-1,-1,-1,6.215303843260388,-1,279,-1
195.85.23.106,5.88397458188952,-1,293,-1,-1,-1,5.88397458188952,-1,293,-1
195.85.23.205,5.123954380932164,-1,271,-1,-1,-1,5.123954380932164,-1,271,-1
195.85.23.89,4.87952037242338,-1,268,-1,-1,-1,4.87952037242338,-1,268,-1
195.85.23.11,7.072691933946355,-1,275,-1,-1,-1,7.072691933946355,-1,275,-1
195.85.23.167,7.5530578472133945,-1,299,-1,-1,-1,7.5530578472133945,-1,299,-1
195.85.23.144,5.4983625809972,-1,290,-1,-1,-1,5.4983625809972,-1,290,-1
195.85.23.114,6.3094391561276595,-1,285,-1,-1,-1,6.3094391561276595,-1,285,-1
195.85.23.92,6.500059101934658,-1,294,-1,-1,-1,6.500059101934658,-1,294,-1
195.85.23.189,6.556910433374821,-1,321,-1,-1,-1,6.556910433374821,-1,321,-1
195.85.23.13,7.575123374609068,-1,329,-1,-1,-1,7.575123374609068,-1,329,-1
195.85.23.128,6.782375289002627,-1,312,-1,-1,-1,6.782375289002627,-1,312,-1
195.85.23.41,7.538614905795504,-1,292,-1,-1,-1,7.538614905795504,-1,292,-1
195.85.23.65,6.756157376041071,-1,302,-1,-1,-1,6.756157376041071,-1,302,-1
203.55.107.48,6.262910206552477,-1,299,-1,-1,-1,6.262910206552477,-1,299,-1
203.55.107.159,5.819212093537827,-1,288,-1,-1,-1,5.819212093537827,-1,288,-1
203.55.107.183,7.326236639854937,-1,278,-1,-1,-1,7.326236639854937,-1,278,-1
203.55.107.35,6.059586994232817,-1,296,-1,-1,-1,6.059586994232817,-1,296,-1
203.55.107.226,6.908601934186612,-1,278,-1,-1,-1,6.908601934186612,-1,278,-1
203.55.107.186,7.3129496925287505,-1,271,-1,-1,-1,7.3129496925287505,-1,271,-1
203.55.107.222,6.1724936846405605,-1,284,-1,-1,-1,6.1724936846405605,-1,284,-1
203.55.107.146,5.1918596910670285,-1,282,-1,-1,-1,5.1918596910670285,-1,282,-1
203.55.107.194,7.487523352660001,-1,297,-1,-1,-1,7.487523352660001,-1,297,-1
203.55.107.79,5.628008385983252,-1,296,-1,-1,-1,5.628008385983252,-1,296,-1
203.55.107.142,7.129102938762313,-1,276,-1,-1,-1,7.129102938762313,-1,276,-1
203.55.107.123,5.577389291577727,-1,280,-1,-1,-1,5.577389291577727,-1,280,-1
203.55.107.145,7.300113383056572,-1,293,-1,-1,-1,7.300113383056572,-1,293,-1
203.55.107.24,5.343242233579299,-1,293,-1,-1,-1,5.343242233579299,-1,293,-1
203.55.107.138,8.60156026732078,-1,289,-1,-1,-1,8.60156026732078,-1,289,-1
203.55.107.246,5.984410102976017,-1,286,-1,-1,-1,5.984410102976017,-1,286,-1
203.55.107.137,7.519863979240014,-1,301,-1,-1,-1,7.519863979240014,-1,301,-1
203.55.107.188,5.43078017537308,-1,282,-1,-1,-1,5.43078017537308,-1,282,-1
203.55.107.131,5.172736921803316,-1,263,-1,-1,-1,5.172736921803316,-1,263,-1
203.55.107.218,6.955098242210086,-1,275,-1,-1,-1,6.955098242210086,-1,275,-1
198.41.223.164,8.74212082245676,-1,289,-1,-1,-1,8.74212082245676,-1,289,-1
198.41.208.136,7.988757900198119,-1,267,-1,-1,-1,7.988757900198119,-1,267,-1
198.41.192.78,6.360769774148035,-1,291,-1,-1,-1,6.360769774148035,-1,291,-1
198.41.220.221,7.361223229334996,-1,273,-1,-1,-1,7.361223229334996,-1,273,-1
198.41.192.189,7.5098836640667805,-1,275,-1,-1,-1,7.5098836640667805,-1,275,-1
198.41.223.211,4.864451481878151,-1,295,-1,-1,-1,4.864451481878151,-1,295,-1
198.41.204.17,3.6184955382123962,-1,465,-1,-1,-1,3.6184955382123962,-1,465,-1
154.85.99.57,7.729854494500618,-1,245,-1,-1,-1,7.729854494500618,-1,245,-1
154.85.99.181,6.9023678619053,-1,251,-1,-1,-1,6.9023678619053,-1,251,-1
154.85.99.5,5.278528970968485,-1,255,-1,-1,-1,5.278528970968485,-1,255,-1
154.85.99.33,7.199899633428044,-1,269,-1,-1,-1,7.199899633428044,-1,269,-1
154.85.99.213,6.95093765796063,-1,334,-1,-1,-1,6.95093765796063,-1,334,-1
154.85.99.179,5.829883390248963,-1,284,-1,-1,-1,5.829883390248963,-1,284,-1
154.85.99.102,6.1328663730726545,-1,294,-1,-1,-1,6.1328663730726545,-1,294,-1
154.85.99.168,8.145866814837882,-1,283,-1,-1,-1,8.145866814837882,-1,283,-1
154.85.99.224,6.874121170488937,-1,285,-1,-1,-1,6.874121170488937,-1,285,-1
154.85.99.231,7.988040944013314,-1,270,-1,-1,-1,7.988040944013314,-1,270,-1
154.85.99.196,7.326270655847783,-1,268,-1,-1,-1,7.326270655847783,-1,268,-1
154.85.99.12,6.868941893546518,-1,268,-1,-1,-1,6.868941893546518,-1,268,-1
154.85.99.49,6.503374414121413,-1,278,-1,-1,-1,6.503374414121413,-1,278,-1
154.85.99.202,6.646491186986347,-1,287,-1,-1,-1,6.646491186986347,-1,287,-1
154.85.99.86,5.597953444282125,-1,357,-1,-1,-1,5.597953444282125,-1,357,-1
154.85.99.150,6.353807564883327,-1,309,-1,-1,-1,6.353807564883327,-1,309,-1
154.85.99.67,7.836448999045231,-1,326,-1,-1,-1,7.836448999045231,-1,326,-1
154.85.99.125,8.648996104727118,-1,310,-1,-1,-1,8.648996104727118,-1,310,-1
154.85.99.47,7.398641866940375,-1,319,-1,-1,-1,7.398641866940375,-1,319,-1
154.85.99.216,6.561986037526162,-1,309,-1,-1,-1,6.561986037526162,-1,309,-1
104.24.78.53,6.6482109006614,-1,328,-1,-1,-1,6.6482109006614,-1,328,-1
104.25.95.164,7.468540732793353,-1,332,-1,-1,-1,7.468540732793353,-1,332,-1
104.24.217.126,7.724526767393031,-1,328,-1,-1,-1,7.724526767393031,-1,328,-1
104.27.118.3,6.446395014499882,-1,314,-1,-1,-1,6.446395014499882,-1,314,-1
104.27.78.28,7.954242662448539,-1,368,-1,-1,-1,7.954242662448539,-1,368,-1
