ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.61,6.4223256997099005,-1,414,-1,-1,-1,6.4223256997099005,-1,414,-1
185.18.250.242,6.515791080752733,-1,410,-1,-1,-1,6.515791080752733,-1,410,-1
185.18.250.124,7.078464101887152,-1,353,-1,-1,-1,7.078464101887152,-1,353,-1
185.18.250.188,7.883925827200186,-1,364,-1,-1,-1,7.883925827200186,-1,364,-1
185.18.250.198,6.196571562520624,-1,410,-1,-1,-1,6.196571562520624,-1,410,-1
185.18.250.109,6.279168257306049,-1,343,-1,-1,-1,6.279168257306049,-1,343,-1
185.18.250.4,3.767982147316727,-1,342,-1,-1,-1,3.767982147316727,-1,342,-1
185.18.250.79,6.167142370683413,-1,388,-1,-1,-1,6.167142370683413,-1,388,-1
185.18.250.50,6.544281566154304,-1,339,-1,-1,-1,6.544281566154304,-1,339,-1
185.18.250.207,5.7216117885970945,-1,401,-1,-1,-1,5.7216117885970945,-1,401,-1
185.18.250.148,6.430019239291775,-1,366,-1,-1,-1,6.430019239291775,-1,366,-1
185.18.250.1,4.077683832465071,-1,351,-1,-1,-1,4.077683832465071,-1,351,-1
185.18.250.139,6.324581890833309,-1,380,-1,-1,-1,6.324581890833309,-1,380,-1
185.18.250.123,6.005157619731848,-1,306,-1,-1,-1,6.005157619731848,-1,306,-1
185.18.250.23,6.161617707585345,-1,317,-1,-1,-1,6.161617707585345,-1,317,-1
185.18.250.112,7.214776482542389,-1,332,-1,-1,-1,7.214776482542389,-1,332,-1
185.18.250.232,5.268643523035325,-1,362,-1,-1,-1,5.268643523035325,-1,362,-1
185.18.250.95,4.800722806544181,-1,330,-1,-1,-1,4.800722806544181,-1,330,-1
185.18.250.143,6.649873629983883,-1,344,-1,-1,-1,6.649873629983883,-1,344,-1
185.18.250.181,6.593661373251449,-1,341,-1,-1,-1,6.593661373251449,-1,341,-1
173.245.59.182,7.253534026098851,-1,343,-1,-1,-1,7.253534026098851,-1,343,-1
173.245.58.146,7.104578877123917,-1,285,-1,-1,-1,7.104578877123917,-1,285,-1
173.245.58.11,6.124333977715158,-1,300,-1,-1,-1,6.124333977715158,-1,300,-1
154.84.175.251,7.886379122268068,-1,350,-1,-1,-1,7.886379122268068,-1,350,-1
154.84.175.145,6.75208943192214,-1,325,-1,-1,-1,6.75208943192214,-1,325,-1
154.84.175.27,6.242345129412568,-1,385,-1,-1,-1,6.242345129412568,-1,385,-1
154.84.175.78,6.004111961161826,-1,372,-1,-1,-1,6.004111961161826,-1,372,-1
154.84.175.136,6.472349057105315,-1,331,-1,-1,-1,6.472349057105315,-1,331,-1
154.84.175.22,4.225396776758825,-1,350,-1,-1,-1,4.225396776758825,-1,350,-1
154.84.175.15,5.1092034764260665,-1,339,-1,-1,-1,5.1092034764260665,-1,339,-1
154.84.175.224,7.433723269273408,-1,303,-1,-1,-1,7.433723269273408,-1,303,-1
154.84.175.17,6.584189271230742,-1,318,-1,-1,-1,6.584189271230742,-1,318,-1
154.84.175.120,4.674510093310372,-1,344,-1,-1,-1,4.674510093310372,-1,344,-1
154.84.175.132,7.598563772735754,-1,337,-1,-1,-1,7.598563772735754,-1,337,-1
154.84.175.149,7.5427980478785965,-1,329,-1,-1,-1,7.5427980478785965,-1,329,-1
154.84.175.182,5.6717253305713,-1,339,-1,-1,-1,5.6717253305713,-1,339,-1
154.84.175.154,6.428612106769974,-1,338,-1,-1,-1,6.428612106769974,-1,338,-1
154.84.175.95,5.919781412096296,-1,361,-1,-1,-1,5.919781412096296,-1,361,-1
154.84.175.121,7.20877547288592,-1,328,-1,-1,-1,7.20877547288592,-1,328,-1
154.84.175.75,6.647603334722968,-1,343,-1,-1,-1,6.647603334722968,-1,343,-1
154.84.175.223,7.844964285355283,-1,304,-1,-1,-1,7.844964285355283,-1,304,-1
154.84.175.99,6.099859069584092,-1,327,-1,-1,-1,6.099859069584092,-1,327,-1
154.84.175.125,6.029004985370351,-1,292,-1,-1,-1,6.029004985370351,-1,292,-1
