ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.163,6.013554280997876,-1,341,-1,-1,-1,6.013554280997876,-1,341,-1
185.18.250.219,6.558133868610263,-1,421,-1,-1,-1,6.558133868610263,-1,421,-1
185.18.250.88,9.087641051157494,-1,523,-1,-1,-1,9.087641051157494,-1,523,-1
185.18.250.108,2.1455453023103197,-1,402,-1,-1,-1,2.1455453023103197,-1,402,-1
185.18.250.223,2.0983604135672063,-1,383,-1,-1,-1,2.0983604135672063,-1,383,-1
185.18.250.211,6.8134872093650065,-1,328,-1,-1,-1,6.8134872093650065,-1,328,-1
185.18.250.55,5.238544490087624,-1,469,-1,-1,-1,5.238544490087624,-1,469,-1
185.18.250.212,1.9540419685441104,-1,406,-1,-1,-1,1.9540419685441104,-1,406,-1
185.18.250.2,7.186356156565822,-1,309,-1,-1,-1,7.186356156565822,-1,309,-1
185.18.250.3,5.084902845185509,-1,386,-1,-1,-1,5.084902845185509,-1,386,-1
185.18.250.28,3.969416873487669,-1,306,-1,-1,-1,3.969416873487669,-1,306,-1
185.18.250.200,4.695381849553109,-1,390,-1,-1,-1,4.695381849553109,-1,390,-1
185.18.250.52,5.023857419724713,-1,363,-1,-1,-1,5.023857419724713,-1,363,-1
185.18.250.5,5.584838609788326,-1,372,-1,-1,-1,5.584838609788326,-1,372,-1
185.18.250.167,4.8396955214813335,-1,369,-1,-1,-1,4.8396955214813335,-1,369,-1
185.18.250.124,4.417118749071823,-1,323,-1,-1,-1,4.417118749071823,-1,323,-1
185.18.250.248,7.75760675063386,-1,264,-1,-1,-1,7.75760675063386,-1,264,-1
185.18.250.183,6.776762744848599,-1,259,-1,-1,-1,6.776762744848599,-1,259,-1
185.18.250.70,5.817653406110963,-1,247,-1,-1,-1,5.817653406110963,-1,247,-1
185.18.250.253,7.575821855808452,-1,278,-1,-1,-1,7.575821855808452,-1,278,-1
173.245.59.194,7.721638261255405,-1,254,-1,-1,-1,7.721638261255405,-1,254,-1
173.245.49.225,6.376852891421171,-1,248,-1,-1,-1,6.376852891421171,-1,248,-1
173.245.49.156,6.66975515235746,-1,261,-1,-1,-1,6.66975515235746,-1,261,-1
154.84.175.248,6.8865817348197504,-1,276,-1,-1,-1,6.8865817348197504,-1,276,-1
154.84.175.126,8.162572736675832,-1,286,-1,-1,-1,8.162572736675832,-1,286,-1
154.84.175.80,5.241320828020614,-1,289,-1,-1,-1,5.241320828020614,-1,289,-1
154.84.175.134,8.66075282310837,-1,285,-1,-1,-1,8.66075282310837,-1,285,-1
154.84.175.50,6.851997613962888,-1,280,-1,-1,-1,6.851997613962888,-1,280,-1
154.84.175.41,6.872581522502941,-1,278,-1,-1,-1,6.872581522502941,-1,278,-1
154.84.175.203,6.150499005054568,-1,267,-1,-1,-1,6.150499005054568,-1,267,-1
154.84.175.16,6.031521561185053,-1,272,-1,-1,-1,6.031521561185053,-1,272,-1
154.84.175.251,8.657700297754374,-1,251,-1,-1,-1,8.657700297754374,-1,251,-1
154.84.175.226,7.353246322534524,-1,265,-1,-1,-1,7.353246322534524,-1,265,-1
154.84.175.184,6.639836856766082,-1,259,-1,-1,-1,6.639836856766082,-1,259,-1
154.84.175.56,5.587307408624532,-1,286,-1,-1,-1,5.587307408624532,-1,286,-1
154.84.175.163,6.2422481033617485,-1,273,-1,-1,-1,6.2422481033617485,-1,273,-1
154.84.175.155,5.910322761534507,-1,277,-1,-1,-1,5.910322761534507,-1,277,-1
154.84.175.100,6.549460844772526,-1,272,-1,-1,-1,6.549460844772526,-1,272,-1
154.84.175.23,6.420365553532187,-1,295,-1,-1,-1,6.420365553532187,-1,295,-1
154.84.175.131,7.926901444095808,-1,294,-1,-1,-1,7.926901444095808,-1,294,-1
154.84.175.118,6.581453191799042,-1,281,-1,-1,-1,6.581453191799042,-1,281,-1
154.84.175.55,6.703733508888025,-1,296,-1,-1,-1,6.703733508888025,-1,296,-1
154.84.175.196,7.037815794280744,-1,282,-1,-1,-1,7.037815794280744,-1,282,-1
185.238.228.66,7.505497096280997,-1,306,-1,-1,-1,7.505497096280997,-1,306,-1
185.238.228.107,5.872041420592751,-1,302,-1,-1,-1,5.872041420592751,-1,302,-1
185.238.228.2,7.783606780160656,-1,358,-1,-1,-1,7.783606780160656,-1,358,-1
185.238.228.53,6.642617844013433,-1,332,-1,-1,-1,6.642617844013433,-1,332,-1
185.238.228.31,7.395358382749699,-1,303,-1,-1,-1,7.395358382749699,-1,303,-1
185.238.228.225,5.6962683362011575,-1,341,-1,-1,-1,5.6962683362011575,-1,341,-1
185.238.228.87,5.622088245798652,-1,354,-1,-1,-1,5.622088245798652,-1,354,-1
185.238.228.25,7.50740337861474,-1,357,-1,-1,-1,7.50740337861474,-1,357,-1
185.238.228.106,6.8594875477186585,-1,374,-1,-1,-1,6.8594875477186585,-1,374,-1
185.238.228.229,5.081092489454953,-1,347,-1,-1,-1,5.081092489454953,-1,347,-1
185.238.228.46,6.157126007489375,-1,332,-1,-1,-1,6.157126007489375,-1,332,-1
