ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.110,5.66766447798943,-1,307,-1,-1,-1,5.66766447798943,-1,307,-1
185.18.250.245,7.343989339535064,-1,310,-1,-1,-1,7.343989339535064,-1,310,-1
185.18.250.115,5.964924736309075,-1,341,-1,-1,-1,5.964924736309075,-1,341,-1
185.18.250.60,5.738455515083245,-1,342,-1,-1,-1,5.738455515083245,-1,342,-1
185.18.250.158,6.13687905226413,-1,369,-1,-1,-1,6.13687905226413,-1,369,-1
185.18.250.189,5.644619736853476,-1,383,-1,-1,-1,5.644619736853476,-1,383,-1
185.18.250.179,5.806163482172217,-1,313,-1,-1,-1,5.806163482172217,-1,313,-1
185.18.250.78,6.408834347230412,-1,335,-1,-1,-1,6.408834347230412,-1,335,-1
185.18.250.58,6.584583902216088,-1,364,-1,-1,-1,6.584583902216088,-1,364,-1
185.18.250.65,6.340169092234563,-1,351,-1,-1,-1,6.340169092234563,-1,351,-1
185.18.250.170,2.278243430781156,-1,366,-1,-1,-1,2.278243430781156,-1,366,-1
185.18.250.100,2.314976849797164,-1,322,-1,-1,-1,2.314976849797164,-1,322,-1
185.18.250.156,5.765030251721403,-1,356,-1,-1,-1,5.765030251721403,-1,356,-1
185.18.250.67,5.979210613522429,-1,350,-1,-1,-1,5.979210613522429,-1,350,-1
185.18.250.151,4.90892622573406,-1,322,-1,-1,-1,4.90892622573406,-1,322,-1
185.18.250.218,6.369759135428047,-1,315,-1,-1,-1,6.369759135428047,-1,315,-1
185.18.250.7,4.645885254066711,-1,273,-1,-1,-1,4.645885254066711,-1,273,-1
185.18.250.120,6.909781394194847,-1,261,-1,-1,-1,6.909781394194847,-1,261,-1
185.18.250.212,4.487508243953108,-1,270,-1,-1,-1,4.487508243953108,-1,270,-1
185.18.250.101,5.06124975776248,-1,260,-1,-1,-1,5.06124975776248,-1,260,-1
173.245.59.61,7.6520244919458715,-1,249,-1,-1,-1,7.6520244919458715,-1,249,-1
154.84.175.239,5.4373921873665205,-1,333,-1,-1,-1,5.4373921873665205,-1,333,-1
154.84.175.6,5.589223329027497,-1,311,-1,-1,-1,5.589223329027497,-1,311,-1
154.84.175.103,7.3999125295198205,-1,303,-1,-1,-1,7.3999125295198205,-1,303,-1
154.84.175.113,4.869467739261576,-1,313,-1,-1,-1,4.869467739261576,-1,313,-1
154.84.175.173,7.472679184507636,-1,306,-1,-1,-1,7.472679184507636,-1,306,-1
154.84.175.122,7.566720718870424,-1,302,-1,-1,-1,7.566720718870424,-1,302,-1
154.84.175.52,6.487501920642279,-1,314,-1,-1,-1,6.487501920642279,-1,314,-1
154.84.175.15,4.991390724387117,-1,248,-1,-1,-1,4.991390724387117,-1,248,-1
154.84.175.127,7.7828320567609275,-1,254,-1,-1,-1,7.7828320567609275,-1,254,-1
154.84.175.7,5.498365944103745,-1,269,-1,-1,-1,5.498365944103745,-1,269,-1
