ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.215,7.188240678230769,-1,346,-1,-1,-1,7.188240678230769,-1,346,-1
185.18.250.12,6.9699685056781,-1,424,-1,-1,-1,6.9699685056781,-1,424,-1
185.18.250.119,7.37658611816193,-1,345,-1,-1,-1,7.37658611816193,-1,345,-1
185.18.250.14,7.616847003090959,-1,502,-1,-1,-1,7.616847003090959,-1,502,-1
185.18.250.240,8.493729812105364,-1,398,-1,-1,-1,8.493729812105364,-1,398,-1
185.18.250.7,7.633533302705202,-1,368,-1,-1,-1,7.633533302705202,-1,368,-1
185.18.250.80,7.99077425206548,-1,423,-1,-1,-1,7.99077425206548,-1,423,-1
185.18.250.144,6.849068138220445,-1,346,-1,-1,-1,6.849068138220445,-1,346,-1
185.18.250.197,4.9467730924505835,-1,448,-1,-1,-1,4.9467730924505835,-1,448,-1
185.18.250.10,5.567197261021351,-1,398,-1,-1,-1,5.567197261021351,-1,398,-1
185.18.250.88,6.26200333120712,-1,354,-1,-1,-1,6.26200333120712,-1,354,-1
185.18.250.129,5.338975740965571,-1,356,-1,-1,-1,5.338975740965571,-1,356,-1
185.18.250.125,5.906517939230728,-1,348,-1,-1,-1,5.906517939230728,-1,348,-1
185.18.250.99,7.145491212955529,-1,306,-1,-1,-1,7.145491212955529,-1,306,-1
185.18.250.141,6.374383088404235,-1,326,-1,-1,-1,6.374383088404235,-1,326,-1
185.18.250.109,6.563835432545084,-1,339,-1,-1,-1,6.563835432545084,-1,339,-1
185.18.250.21,6.912000999737204,-1,355,-1,-1,-1,6.912000999737204,-1,355,-1
173.245.58.129,6.367707267934992,-1,314,-1,-1,-1,6.367707267934992,-1,314,-1
173.245.59.164,7.473350452863439,-1,276,-1,-1,-1,7.473350452863439,-1,276,-1
