ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.0,7.101435736183209,-1,310,-1,-1,-1,7.101435736183209,-1,310,-1
185.18.250.1,7.503201545808518,-1,313,-1,-1,-1,7.503201545808518,-1,313,-1
185.18.250.2,6.794428476842902,-1,337,-1,-1,-1,6.794428476842902,-1,337,-1
185.18.250.3,7.739214550813565,-1,297,-1,-1,-1,7.739214550813565,-1,297,-1
185.18.250.4,5.727088989946986,-1,320,-1,-1,-1,5.727088989946986,-1,320,-1
185.18.250.5,4.888409794899903,-1,342,-1,-1,-1,4.888409794899903,-1,342,-1
185.18.250.6,5.043133097822233,-1,311,-1,-1,-1,5.043133097822233,-1,311,-1
185.18.250.7,7.171777398857357,-1,358,-1,-1,-1,7.171777398857357,-1,358,-1
185.18.250.8,5.786619574884244,-1,349,-1,-1,-1,5.786619574884244,-1,349,-1
185.18.250.9,4.939557322979174,-1,325,-1,-1,-1,4.939557322979174,-1,325,-1
185.18.250.10,7.2548342132552674,-1,324,-1,-1,-1,7.2548342132552674,-1,324,-1
185.18.250.11,7.214337963133607,-1,352,-1,-1,-1,7.214337963133607,-1,352,-1
185.18.250.12,5.060598708483219,-1,331,-1,-1,-1,5.060598708483219,-1,331,-1
185.18.250.13,6.15223899968017,-1,305,-1,-1,-1,6.15223899968017,-1,305,-1
185.18.250.14,6.062276998731179,-1,332,-1,-1,-1,6.062276998731179,-1,332,-1
185.18.250.15,9.257038855733388,-1,283,-1,-1,-1,9.257038855733388,-1,283,-1
185.18.250.16,6.128695683929353,-1,302,-1,-1,-1,6.128695683929353,-1,302,-1
185.18.250.17,8.05524074686145,-1,295,-1,-1,-1,8.05524074686145,-1,295,-1
185.18.250.18,6.362593548775546,-1,289,-1,-1,-1,6.362593548775546,-1,289,-1
185.18.250.19,4.353348546080618,-1,299,-1,-1,-1,4.353348546080618,-1,299,-1
185.18.250.20,7.149830589701646,-1,286,-1,-1,-1,7.149830589701646,-1,286,-1
185.18.250.21,6.826696318171327,-1,271,-1,-1,-1,6.826696318171327,-1,271,-1
185.18.250.22,5.699740465274432,-1,281,-1,-1,-1,5.699740465274432,-1,281,-1
185.18.250.23,7.254735923063301,-1,283,-1,-1,-1,7.254735923063301,-1,283,-1
185.18.250.24,6.362077842745683,-1,299,-1,-1,-1,6.362077842745683,-1,299,-1
185.18.250.25,6.055325174963392,-1,284,-1,-1,-1,6.055325174963392,-1,284,-1
185.18.250.26,7.452302075739797,-1,279,-1,-1,-1,7.452302075739797,-1,279,-1
185.18.250.27,7.213752940553879,-1,316,-1,-1,-1,7.213752940553879,-1,316,-1
185.18.250.28,5.01695825970372,-1,291,-1,-1,-1,5.01695825970372,-1,291,-1
185.18.250.29,7.045198488194868,-1,277,-1,-1,-1,7.045198488194868,-1,277,-1
185.18.250.30,6.692937393925945,-1,261,-1,-1,-1,6.692937393925945,-1,261,-1
185.18.250.31,5.140029271533582,-1,272,-1,-1,-1,5.140029271533582,-1,272,-1
185.18.250.32,7.125573364987386,-1,304,-1,-1,-1,7.125573364987386,-1,304,-1
185.18.250.33,5.9160535225611905,-1,403,-1,-1,-1,5.9160535225611905,-1,403,-1
185.18.250.34,6.41897371600163,-1,317,-1,-1,-1,6.41897371600163,-1,317,-1
185.18.250.35,8.040172319116376,-1,351,-1,-1,-1,8.040172319116376,-1,351,-1
185.18.250.36,6.977732285674473,-1,357,-1,-1,-1,6.977732285674473,-1,357,-1
185.18.250.37,7.258748770193854,-1,395,-1,-1,-1,7.258748770193854,-1,395,-1
185.18.250.38,6.997335860491674,-1,433,-1,-1,-1,6.997335860491674,-1,433,-1
185.18.250.39,5.307419327647574,-1,313,-1,-1,-1,5.307419327647574,-1,313,-1
185.18.250.40,6.580062353579833,-1,470,-1,-1,-1,6.580062353579833,-1,470,-1
185.18.250.41,7.494010833392141,-1,331,-1,-1,-1,7.494010833392141,-1,331,-1
185.18.250.42,7.47085879434499,-1,367,-1,-1,-1,7.47085879434499,-1,367,-1
185.18.250.43,6.097654113512411,-1,335,-1,-1,-1,6.097654113512411,-1,335,-1
185.18.250.44,5.88051272996512,-1,368,-1,-1,-1,5.88051272996512,-1,368,-1
185.18.250.45,8.185179034836112,-1,385,-1,-1,-1,8.185179034836112,-1,385,-1
185.18.250.46,7.870926951533856,-1,312,-1,-1,-1,7.870926951533856,-1,312,-1
185.18.250.47,4.410277291103273,-1,297,-1,-1,-1,4.410277291103273,-1,297,-1
185.18.250.48,7.559206778293819,-1,335,-1,-1,-1,7.559206778293819,-1,335,-1
185.18.250.49,7.415066278248773,-1,332,-1,-1,-1,7.415066278248773,-1,332,-1
185.18.250.50,6.359177842959563,-1,329,-1,-1,-1,6.359177842959563,-1,329,-1
185.18.250.51,5.876610455767744,-1,359,-1,-1,-1,5.876610455767744,-1,359,-1
185.18.250.52,5.913944799533445,-1,383,-1,-1,-1,5.913944799533445,-1,383,-1
185.18.250.53,5.879632573641036,-1,299,-1,-1,-1,5.879632573641036,-1,299,-1
185.18.250.54,5.533231617300583,-1,401,-1,-1,-1,5.533231617300583,-1,401,-1
185.18.250.56,6.798513525245573,-1,369,-1,-1,-1,6.798513525245573,-1,369,-1
185.18.250.57,6.557045810988068,-1,342,-1,-1,-1,6.557045810988068,-1,342,-1
185.18.250.58,6.655578583823948,-1,407,-1,-1,-1,6.655578583823948,-1,407,-1
185.18.250.59,6.555560137965238,-1,446,-1,-1,-1,6.555560137965238,-1,446,-1
185.18.250.60,7.852560712941237,-1,320,-1,-1,-1,7.852560712941237,-1,320,-1
185.18.250.61,6.943356410706891,-1,411,-1,-1,-1,6.943356410706891,-1,411,-1
185.18.250.62,7.359833376677053,-1,341,-1,-1,-1,7.359833376677053,-1,341,-1
185.18.250.63,6.893748405183912,-1,313,-1,-1,-1,6.893748405183912,-1,313,-1
185.18.250.64,6.783991503165236,-1,322,-1,-1,-1,6.783991503165236,-1,322,-1
185.18.250.65,6.021485518626978,-1,321,-1,-1,-1,6.021485518626978,-1,321,-1
185.18.250.66,3.8684743479428705,-1,350,-1,-1,-1,3.8684743479428705,-1,350,-1
185.18.250.67,7.507388795262438,-1,434,-1,-1,-1,7.507388795262438,-1,434,-1
185.18.250.68,6.463176464172096,-1,307,-1,-1,-1,6.463176464172096,-1,307,-1
185.18.250.69,5.396232320950924,-1,373,-1,-1,-1,5.396232320950924,-1,373,-1
185.18.250.70,6.78266027472281,-1,342,-1,-1,-1,6.78266027472281,-1,342,-1
185.18.250.71,7.147993231428156,-1,283,-1,-1,-1,7.147993231428156,-1,283,-1
185.18.250.72,7.002928379496349,-1,402,-1,-1,-1,7.002928379496349,-1,402,-1
185.18.250.73,6.892006505363003,-1,410,-1,-1,-1,6.892006505363003,-1,410,-1
185.18.250.74,6.594474590250177,-1,299,-1,-1,-1,6.594474590250177,-1,299,-1
185.18.250.75,5.501801692227601,-1,465,-1,-1,-1,5.501801692227601,-1,465,-1
185.18.250.76,6.904608688069326,-1,408,-1,-1,-1,6.904608688069326,-1,408,-1
185.18.250.77,6.038300578313199,-1,318,-1,-1,-1,6.038300578313199,-1,318,-1
185.18.250.78,6.648558541794455,-1,324,-1,-1,-1,6.648558541794455,-1,324,-1
185.18.250.79,7.377289826412859,-1,320,-1,-1,-1,7.377289826412859,-1,320,-1
185.18.250.80,6.828234706189353,-1,305,-1,-1,-1,6.828234706189353,-1,305,-1
185.18.250.81,5.910293549836559,-1,296,-1,-1,-1,5.910293549836559,-1,296,-1
185.18.250.82,6.391236285922792,-1,356,-1,-1,-1,6.391236285922792,-1,356,-1
185.18.250.83,6.100704884686486,-1,301,-1,-1,-1,6.100704884686486,-1,301,-1
185.18.250.84,6.974229854518328,-1,360,-1,-1,-1,6.974229854518328,-1,360,-1
185.18.250.85,8.307994642003338,-1,409,-1,-1,-1,8.307994642003338,-1,409,-1
185.18.250.86,4.278970589874007,-1,337,-1,-1,-1,4.278970589874007,-1,337,-1
185.18.250.87,5.8471652597298425,-1,470,-1,-1,-1,5.8471652597298425,-1,470,-1
185.18.250.88,6.427242820166979,-1,336,-1,-1,-1,6.427242820166979,-1,336,-1
185.18.250.89,6.636817084184904,-1,362,-1,-1,-1,6.636817084184904,-1,362,-1
185.18.250.90,5.7437508691653765,-1,311,-1,-1,-1,5.7437508691653765,-1,311,-1
185.18.250.91,7.391569737673531,-1,383,-1,-1,-1,7.391569737673531,-1,383,-1
185.18.250.92,5.397333619889103,-1,336,-1,-1,-1,5.397333619889103,-1,336,-1
185.18.250.93,6.735733190870156,-1,297,-1,-1,-1,6.735733190870156,-1,297,-1
185.18.250.94,7.509516669388107,-1,375,-1,-1,-1,7.509516669388107,-1,375,-1
185.18.250.95,6.01847803656001,-1,397,-1,-1,-1,6.01847803656001,-1,397,-1
185.18.250.96,6.0001532890022915,-1,388,-1,-1,-1,6.0001532890022915,-1,388,-1
185.18.250.97,6.801621955756712,-1,352,-1,-1,-1,6.801621955756712,-1,352,-1
185.18.250.98,5.554598313276432,-1,359,-1,-1,-1,5.554598313276432,-1,359,-1
185.18.250.99,5.677974660559459,-1,351,-1,-1,-1,5.677974660559459,-1,351,-1
185.18.250.100,4.440057494889285,-1,358,-1,-1,-1,4.440057494889285,-1,358,-1
185.18.250.101,4.583065262277853,-1,346,-1,-1,-1,4.583065262277853,-1,346,-1
185.18.250.102,6.541210394194945,-1,338,-1,-1,-1,6.541210394194945,-1,338,-1
185.18.250.103,5.192535584705091,-1,362,-1,-1,-1,5.192535584705091,-1,362,-1
185.18.250.104,5.45771963947154,-1,385,-1,-1,-1,5.45771963947154,-1,385,-1
185.18.250.105,5.054082281240799,-1,398,-1,-1,-1,5.054082281240799,-1,398,-1
185.18.250.106,7.248590323741345,-1,359,-1,-1,-1,7.248590323741345,-1,359,-1
185.18.250.107,5.578473941063815,-1,421,-1,-1,-1,5.578473941063815,-1,421,-1
185.18.250.108,6.436316892233185,-1,366,-1,-1,-1,6.436316892233185,-1,366,-1
185.18.250.109,4.289964376378791,-1,388,-1,-1,-1,4.289964376378791,-1,388,-1
185.18.250.110,6.819276447559874,-1,385,-1,-1,-1,6.819276447559874,-1,385,-1
185.18.250.111,6.8296666787365,-1,305,-1,-1,-1,6.8296666787365,-1,305,-1
185.18.250.112,5.565061685469233,-1,362,-1,-1,-1,5.565061685469233,-1,362,-1
185.18.250.113,7.992743388240473,-1,332,-1,-1,-1,7.992743388240473,-1,332,-1
185.18.250.114,6.556201178063721,-1,370,-1,-1,-1,6.556201178063721,-1,370,-1
185.18.250.115,7.4536705456739245,-1,322,-1,-1,-1,7.4536705456739245,-1,322,-1
185.18.250.116,6.915996525324534,-1,321,-1,-1,-1,6.915996525324534,-1,321,-1
185.18.250.117,6.016601593593469,-1,320,-1,-1,-1,6.016601593593469,-1,320,-1
185.18.250.118,4.3150573539151305,-1,342,-1,-1,-1,4.3150573539151305,-1,342,-1
185.18.250.119,7.023608190918077,-1,327,-1,-1,-1,7.023608190918077,-1,327,-1
185.18.250.120,6.825854699685487,-1,312,-1,-1,-1,6.825854699685487,-1,312,-1
185.18.250.121,5.708645979861583,-1,310,-1,-1,-1,5.708645979861583,-1,310,-1
185.18.250.122,6.636538496431173,-1,307,-1,-1,-1,6.636538496431173,-1,307,-1
185.18.250.123,7.748940301066581,-1,327,-1,-1,-1,7.748940301066581,-1,327,-1
185.18.250.124,5.677698342374391,-1,360,-1,-1,-1,5.677698342374391,-1,360,-1
185.18.250.125,7.781290792542937,-1,396,-1,-1,-1,7.781290792542937,-1,396,-1
185.18.250.126,5.796077223497315,-1,362,-1,-1,-1,5.796077223497315,-1,362,-1
185.18.250.127,6.427854774346002,-1,343,-1,-1,-1,6.427854774346002,-1,343,-1
185.18.250.128,7.262273428346803,-1,295,-1,-1,-1,7.262273428346803,-1,295,-1
185.18.250.129,7.557051582714917,-1,337,-1,-1,-1,7.557051582714917,-1,337,-1
185.18.250.130,7.671313666816702,-1,299,-1,-1,-1,7.671313666816702,-1,299,-1
185.18.250.131,5.999557562622836,-1,295,-1,-1,-1,5.999557562622836,-1,295,-1
185.18.250.132,7.002302978636266,-1,302,-1,-1,-1,7.002302978636266,-1,302,-1
185.18.250.133,5.105928323137437,-1,304,-1,-1,-1,5.105928323137437,-1,304,-1
185.18.250.134,7.559780095362795,-1,327,-1,-1,-1,7.559780095362795,-1,327,-1
185.18.250.135,7.166894137756985,-1,302,-1,-1,-1,7.166894137756985,-1,302,-1
185.18.250.136,8.367219351094866,-1,298,-1,-1,-1,8.367219351094866,-1,298,-1
185.18.250.137,8.575354123823313,-1,342,-1,-1,-1,8.575354123823313,-1,342,-1
185.18.250.138,7.188306752928814,-1,352,-1,-1,-1,7.188306752928814,-1,352,-1
185.18.250.139,5.156387961588084,-1,340,-1,-1,-1,5.156387961588084,-1,340,-1
185.18.250.140,6.206277069086408,-1,393,-1,-1,-1,6.206277069086408,-1,393,-1
185.18.250.141,4.993291793134709,-1,348,-1,-1,-1,4.993291793134709,-1,348,-1
185.18.250.142,4.996304888993603,-1,361,-1,-1,-1,4.996304888993603,-1,361,-1
185.18.250.143,4.778868236569703,-1,332,-1,-1,-1,4.778868236569703,-1,332,-1
185.18.250.144,6.048914928527237,-1,320,-1,-1,-1,6.048914928527237,-1,320,-1
185.18.250.145,7.277745211965125,-1,316,-1,-1,-1,7.277745211965125,-1,316,-1
185.18.250.146,8.274614342559882,-1,320,-1,-1,-1,8.274614342559882,-1,320,-1
