ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.106,6.505698394293401,-1,392,-1,-1,-1,6.505698394293401,-1,392,-1
185.18.250.18,3.853269798004939,-1,396,-1,-1,-1,3.853269798004939,-1,396,-1
185.18.250.185,7.479210319982211,-1,334,-1,-1,-1,7.479210319982211,-1,334,-1
185.18.250.163,6.650571949935768,-1,336,-1,-1,-1,6.650571949935768,-1,336,-1
185.18.250.46,6.648048861275434,-1,334,-1,-1,-1,6.648048861275434,-1,334,-1
185.18.250.3,4.779421769402605,-1,328,-1,-1,-1,4.779421769402605,-1,328,-1
185.18.250.114,6.448630099698064,-1,336,-1,-1,-1,6.448630099698064,-1,336,-1
185.18.250.9,6.656141753565813,-1,379,-1,-1,-1,6.656141753565813,-1,379,-1
185.18.250.10,6.947841106465523,-1,393,-1,-1,-1,6.947841106465523,-1,393,-1
185.18.250.81,5.498581355629675,-1,339,-1,-1,-1,5.498581355629675,-1,339,-1
185.18.250.216,5.794516255312764,-1,354,-1,-1,-1,5.794516255312764,-1,354,-1
185.18.250.36,5.7079600714800005,-1,388,-1,-1,-1,5.7079600714800005,-1,388,-1
185.18.250.140,8.035389865675935,-1,346,-1,-1,-1,8.035389865675935,-1,346,-1
185.18.250.83,6.596384335351981,-1,363,-1,-1,-1,6.596384335351981,-1,363,-1
185.18.250.124,6.488877374645264,-1,380,-1,-1,-1,6.488877374645264,-1,380,-1
185.18.250.154,6.348727524156312,-1,314,-1,-1,-1,6.348727524156312,-1,314,-1
185.18.250.217,7.622184474831891,-1,270,-1,-1,-1,7.622184474831891,-1,270,-1
185.18.250.112,7.130893350180822,-1,268,-1,-1,-1,7.130893350180822,-1,268,-1
185.18.250.80,5.592625262281606,-1,256,-1,-1,-1,5.592625262281606,-1,256,-1
185.18.250.75,6.191634508817551,-1,264,-1,-1,-1,6.191634508817551,-1,264,-1
173.245.49.244,6.995895245709327,-1,265,-1,-1,-1,6.995895245709327,-1,265,-1
173.245.49.111,5.71911832831834,-1,267,-1,-1,-1,5.71911832831834,-1,267,-1
173.245.59.194,7.527167995806165,-1,271,-1,-1,-1,7.527167995806165,-1,271,-1
173.245.58.222,6.5469494758953015,-1,285,-1,-1,-1,6.5469494758953015,-1,285,-1
173.245.49.52,7.977298284675759,-1,276,-1,-1,-1,7.977298284675759,-1,276,-1
173.245.58.62,6.30918861803399,-1,262,-1,-1,-1,6.30918861803399,-1,262,-1
173.245.59.119,7.052429817396389,-1,249,-1,-1,-1,7.052429817396389,-1,249,-1
154.84.175.226,7.263297268095838,-1,249,-1,-1,-1,7.263297268095838,-1,249,-1
154.84.175.21,6.270616218499779,-1,266,-1,-1,-1,6.270616218499779,-1,266,-1
154.84.175.6,3.9245366737775247,-1,256,-1,-1,-1,3.9245366737775247,-1,256,-1
154.84.175.44,7.011289051862913,-1,276,-1,-1,-1,7.011289051862913,-1,276,-1
154.84.175.46,7.664527245237923,-1,271,-1,-1,-1,7.664527245237923,-1,271,-1
154.84.175.231,7.654405138976709,-1,273,-1,-1,-1,7.654405138976709,-1,273,-1
154.84.175.141,3.661513524311752,-1,269,-1,-1,-1,3.661513524311752,-1,269,-1
154.84.175.164,5.986332051551324,-1,285,-1,-1,-1,5.986332051551324,-1,285,-1
154.84.175.118,4.560935188742244,-1,275,-1,-1,-1,4.560935188742244,-1,275,-1
154.84.175.150,5.8342353425482685,-1,270,-1,-1,-1,5.8342353425482685,-1,270,-1
154.84.175.204,7.31261526229855,-1,255,-1,-1,-1,7.31261526229855,-1,255,-1
154.84.175.7,6.24866698381478,-1,281,-1,-1,-1,6.24866698381478,-1,281,-1
154.84.175.191,4.957898886243164,-1,280,-1,-1,-1,4.957898886243164,-1,280,-1
154.84.175.229,5.5739079571152725,-1,282,-1,-1,-1,5.5739079571152725,-1,282,-1
154.84.175.130,4.692169872827552,-1,292,-1,-1,-1,4.692169872827552,-1,292,-1
154.84.175.132,7.78641149119163,-1,310,-1,-1,-1,7.78641149119163,-1,310,-1
154.84.175.1,5.1035013681381125,-1,302,-1,-1,-1,5.1035013681381125,-1,302,-1
154.84.175.128,7.3344520877943475,-1,332,-1,-1,-1,7.3344520877943475,-1,332,-1
154.84.175.33,5.733515721339596,-1,304,-1,-1,-1,5.733515721339596,-1,304,-1
154.84.175.84,9.526421238209867,-1,307,-1,-1,-1,9.526421238209867,-1,307,-1
185.238.228.240,2.6008670282683104,-1,350,-1,-1,-1,2.6008670282683104,-1,350,-1
185.238.228.118,2.8717514052200572,-1,399,-1,-1,-1,2.8717514052200572,-1,399,-1
185.238.228.18,5.345882793284828,-1,309,-1,-1,-1,5.345882793284828,-1,309,-1
185.238.228.217,6.0161964129859,-1,317,-1,-1,-1,6.0161964129859,-1,317,-1
185.238.228.227,5.193974057826686,-1,328,-1,-1,-1,5.193974057826686,-1,328,-1
185.238.228.199,6.179044058027591,-1,471,-1,-1,-1,6.179044058027591,-1,471,-1
185.238.228.47,7.083945470827071,-1,485,-1,-1,-1,7.083945470827071,-1,485,-1
185.238.228.87,5.241313548094401,-1,440,-1,-1,-1,5.241313548094401,-1,440,-1
185.238.228.64,7.415523079525274,-1,313,-1,-1,-1,7.415523079525274,-1,313,-1
185.238.228.19,5.114350353154438,-1,455,-1,-1,-1,5.114350353154438,-1,455,-1
185.238.228.220,6.092464109262299,-1,368,-1,-1,-1,6.092464109262299,-1,368,-1
185.238.228.161,5.538562399981265,-1,294,-1,-1,-1,5.538562399981265,-1,294,-1
185.238.228.153,4.844860598996202,-1,394,-1,-1,-1,4.844860598996202,-1,394,-1
