ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.9,5.552871050846018,-1,313,-1,-1,-1,5.552871050846018,-1,313,-1
185.18.250.88,5.373959824830269,-1,340,-1,-1,-1,5.373959824830269,-1,340,-1
185.18.250.233,6.876769097294568,-1,317,-1,-1,-1,6.876769097294568,-1,317,-1
185.18.250.55,5.078027156336418,-1,351,-1,-1,-1,5.078027156336418,-1,351,-1
185.18.250.46,5.121273517206438,-1,313,-1,-1,-1,5.121273517206438,-1,313,-1
185.18.250.60,7.459940098799321,-1,352,-1,-1,-1,7.459940098799321,-1,352,-1
185.18.250.200,7.156755370245698,-1,298,-1,-1,-1,7.156755370245698,-1,298,-1
185.18.250.96,8.342292260031751,-1,385,-1,-1,-1,8.342292260031751,-1,385,-1
185.18.250.180,6.314850505134281,-1,335,-1,-1,-1,6.314850505134281,-1,335,-1
185.18.250.162,6.228610756060453,-1,322,-1,-1,-1,6.228610756060453,-1,322,-1
185.18.250.29,7.423859229277728,-1,310,-1,-1,-1,7.423859229277728,-1,310,-1
185.18.250.208,5.808877601721689,-1,358,-1,-1,-1,5.808877601721689,-1,358,-1
185.18.250.77,5.420199657243734,-1,348,-1,-1,-1,5.420199657243734,-1,348,-1
185.18.250.152,5.528626919129377,-1,308,-1,-1,-1,5.528626919129377,-1,308,-1
185.18.250.8,5.379389623321416,-1,275,-1,-1,-1,5.379389623321416,-1,275,-1
185.18.250.167,7.736683897613098,-1,260,-1,-1,-1,7.736683897613098,-1,260,-1
185.18.250.52,4.83182868567595,-1,305,-1,-1,-1,4.83182868567595,-1,305,-1
185.18.250.13,8.477082937205385,-1,286,-1,-1,-1,8.477082937205385,-1,286,-1
185.18.250.14,6.0429936184517965,-1,304,-1,-1,-1,6.0429936184517965,-1,304,-1
185.18.250.178,6.001376925981519,-1,284,-1,-1,-1,6.001376925981519,-1,284,-1
173.245.58.219,8.240927470160937,-1,284,-1,-1,-1,8.240927470160937,-1,284,-1
173.245.59.127,6.771602293765775,-1,298,-1,-1,-1,6.771602293765775,-1,298,-1
173.245.58.188,6.429566800341682,-1,247,-1,-1,-1,6.429566800341682,-1,247,-1
173.245.49.191,7.488086337537848,-1,242,-1,-1,-1,7.488086337537848,-1,242,-1
154.84.175.240,6.678423084276036,-1,282,-1,-1,-1,6.678423084276036,-1,282,-1
154.84.175.235,6.572169872080159,-1,291,-1,-1,-1,6.572169872080159,-1,291,-1
154.84.175.16,7.38461370300766,-1,269,-1,-1,-1,7.38461370300766,-1,269,-1
154.84.175.251,7.979592272298812,-1,319,-1,-1,-1,7.979592272298812,-1,319,-1
154.84.175.18,7.998620717439335,-1,275,-1,-1,-1,7.998620717439335,-1,275,-1
154.84.175.91,6.828887690217295,-1,281,-1,-1,-1,6.828887690217295,-1,281,-1
154.84.175.156,7.778434028959117,-1,285,-1,-1,-1,7.778434028959117,-1,285,-1
154.84.175.147,7.773865558610886,-1,296,-1,-1,-1,7.773865558610886,-1,296,-1
154.84.175.193,5.970674895759856,-1,291,-1,-1,-1,5.970674895759856,-1,291,-1
154.84.175.32,5.736208108630982,-1,302,-1,-1,-1,5.736208108630982,-1,302,-1
154.84.175.13,6.296912638435205,-1,284,-1,-1,-1,6.296912638435205,-1,284,-1
154.84.175.112,4.595596551200325,-1,312,-1,-1,-1,4.595596551200325,-1,312,-1
154.84.175.107,6.848482110041661,-1,319,-1,-1,-1,6.848482110041661,-1,319,-1
154.84.175.192,4.503633066745852,-1,284,-1,-1,-1,4.503633066745852,-1,284,-1
154.84.175.17,5.598210615890083,-1,283,-1,-1,-1,5.598210615890083,-1,283,-1
154.84.175.159,5.026891228831893,-1,272,-1,-1,-1,5.026891228831893,-1,272,-1
154.84.175.99,8.15750602366689,-1,285,-1,-1,-1,8.15750602366689,-1,285,-1
154.84.175.197,6.274610739029398,-1,296,-1,-1,-1,6.274610739029398,-1,296,-1
154.84.175.110,6.810612828181809,-1,267,-1,-1,-1,6.810612828181809,-1,267,-1
154.84.175.71,5.298069558968924,-1,285,-1,-1,-1,5.298069558968924,-1,285,-1
