atom,x,y,z,Z,symbol,freqdx,frame,frequency,label,norm,delta
0,0.0,0.0,0.6729598192750224,1,H,0,0,0.0,0,0.0,0.0
1,0.0,0.0,-0.6729598192750224,1,H,0,0,0.0,1,0.0,0.0
2,0.0,0.0,0.6845068246588148,1,H,1,1,5481.2439,0,0.02,0.01632985728358037
3,0.0,0.0,-0.6845068246588148,1,H,1,1,5481.2439,1,0.02,0.01632985728358037
4,0.0,0.0,0.6614128138912299,1,H,2,2,5481.2439,0,0.02,0.01632985728358037
5,0.0,0.0,-0.6614128138912299,1,H,2,2,5481.2439,1,0.02,0.01632985728358037
6,0.0,0.0,0.6960538300426073,1,H,1,3,5481.2439,0,0.04,0.03265971456716074
7,0.0,0.0,-0.6960538300426073,1,H,1,3,5481.2439,1,0.04,0.03265971456716074
8,0.0,0.0,0.6498658085074374,1,H,2,4,5481.2439,0,0.04,0.03265971456716074
9,0.0,0.0,-0.6498658085074374,1,H,2,4,5481.2439,1,0.04,0.03265971456716074
