province    month   region  class
山东  6,7,8   10,19,20  4
山东  12,1    10,16,17,18,19    4
山东  all    9,10,15,16,17,18,19,20,21 3
山东  all    0,1,2,3,4,5,6,12,13    1
山西  all 18,19    4
山西  all 8,9,10,17,18,19,20,21,22  3
山西  all 0,1,2,3,4,5,6,11,12    1
浙江  all 9,10,15,16    4
浙江  all 8,13,14,17,18,19    3
浙江  all 0,1,2,3,4,5,6,7,11,12,22,23 1
江苏  all 8,9,10,17,18,19,20,21   3
江苏  all 0,1,2,3,4,5,6,7 1
安徽  all 9,10,11,17,18,19,20,21  3
安徽  all 0,1,2,3,4,5,6,7,23 1
广东  all 11,15,16    4
广东  all 10,11,14,15,16,17,18    3
广东  all 0,1,2,3,4,5,6,7 1
北京  7,8 11,12,16    4
北京  all 10,11,12,13,14,18,19,20 3
北京  all 0,1,2,3,4,5,6,23 1
河北  6,7,8   11,16,21    4
河北  1,2,12  17,18   4
河北  6,7,8   12,13,14,15,17  3
河北  1,2,12  9,10,11,19,20,21    3
河北  3,4,5,9,10,11   9,10,15,16,17,18,19 3
河北  3,4,5,6,7,8,9,10,11 0,1,2,3,4,5,6,7 1
河北  1,2,12  0,1,2,3,4,5,6,23    1
冀北  6,7,8   10,17,20    4
冀北  1,11,12 17,18   4
冀北  6,7,8   11,14,15,16,19  3
冀北  1,11,12 8,10,14,15,16,19    3
冀北  2,3,4,5,9,10   9,10,11,15,16,17,19,20  3
冀北  all 0,1,2,3,4,5,6,23    1
河南  all 8,9,10,11,18,19,20,21   3
河南  all 0,1,2,3,4,5,6,7 1
上海  6,7,8   8,9,10,13,14,18,19,20   3
上海  1,2,3,4,5,9,10,11,12    8,9,10,18,19,20 3
上海  all 0,1,2,3,4,5,22,23   1
重庆  all 12,13   4
重庆  all 11,14,15,16,20,21   3
重庆  all 0,1,2,3,4,5,6,7 1
四川  all 11,14,15,16,17,18,19,20 3
四川  all 0,1,2,3,4,5,6,23    1
江西  all 17,18,19,20,21,22   3
江西  all 0,1,2,3,4,23    1
湖北  all 20,21   4
湖北  all 9,10,11,12,13,14    3
湖北  all 0,1,2,3,4,5,6,23    1
湖南  1,7,8,9,12  18,19,20,21 4
湖南  all 11,12,13,18,19,20,21,22 3
湖南  all 0,1,2,3,4,5,6,23  1
天津  7,8 11,16   4
天津  12,1    11,18   4
天津  all 9,10,11,16,17,18,19,20  3
天津  all 0,1,2,3,4,5,6,7,23  1
广西  all 11,17   4
广西  all 10,16,19,20,21  3
广西  all 0,1,2,3,4,5,6,23  1
海南  all 20,21   4
海南  all 16,17,18,19,22,23   3
海南  all 0,1,2,3,4,5,6,7 1
云南  all 9,10,11,18,19,20,21,22  3
云南  all 0,1,2,3,4,5,6,23    1
深圳  all 11,15,16    4
深圳  all 10,14,18    3
深圳  all 0,1,2,3,4,5,6,7 1
福建  all 0,1,2,3,4,5,6,23    1
福建  all 8.5,9,9.5,10,10.5,11,14.5,15,15.5,16,16.5,17,19,19.5,20,20.5    3
宁夏  all 22.5,23,23.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6  1
宁夏  all 8,8.5,9,9.5,10,10.5,11,11.5,18.5,19,19.5,20,20.5,21,21.5,22 3
陕西  7,8 19.5,20,20.5,21 4
陕西  12,1    18.5,19,19.5,20 4
陕西  all 8,8.5,9,9.5,10,10.5,11,18.5,19,19.5,20,20.5,21,21.5,22,22.5 3
陕西  all 0,1,2,3,4,5,6,23    1
